gloss,text
"ERDF , ESF AND COHESION FUND PROVISION RELATE TO DESC-FINANCIAL MANAGEMENT
","erdf , esf and cohesion fund provisions relating to financial management 
"
"EDUCATE CHILD MIGRANT
","educating the children of migrants 
"
"BEFORE VOTE
","before the vote 
"
"X-WE WISH TO PROTEST AGAINST THIS .
","we wish to protest against this .
"
"MR PRESIDENT , X-I BE DESC-NOT DESC-SURE IF INTERPRETATION MISS X-IT .
","mr president , I am not sure if the interpretation missed it .
"
"X-I WANT WORD DELETE DESC-RE AS DESC-WELL .
","i want the word deleted there as well .
"
"PARLIAMENT DO DESC-NOT AGREE TO ACCEPT DESC-ORAL AMENDMENT
","parliament did not agree to accept the oral amendments 
"
"BEFORE VOTE
","before the vote 
"
"X-YOU HAVE THIS IN X-YOU VOTING LIST .
","you have this in your voting list .
"
"X-WE SHOULD DESC-NEVERLESS CLARIFY THAT , DESC-UNFORTUNATELY , QUESTIONNAIRE SEND TO MEMBER STATE CONTAIN THIS DESC-INCORRECT TERMINOLOGY .
","we should nevertheless clarify that , unfortunately , the questionnaire sent to the member states contained this incorrect terminology .
"
"PRESIDENT CUT OFF SPEAKER
","the president cut off the speaker 
"
"MR ANGELILLUS , DEBATE BE OVER .
","mrs angelilli , the debate is over .
"
"DESC-LEAN X-POSS MOTION CAN STAND DESC-UP . MR V ?
","anyone who does not wish to support mrs vălean's motion can stand up .
"
"FORTY MEMBER WOULD HAVE TO RISE TO OPPOSE MOTION , AND NO EXPLANATION WOULD BE GIVE .
","forty members would have to rise to oppose the motion , and no explanation would be given .
"
"PARLIAMENT AGREE TO ACCEPT DESC-ORAL AMENDMENT
","parliament agreed to accept the oral amendment 
"
"PROBLEM AND PROSPECTS CONCERN EUROPEAN CITIZENSHIP
","problems and prospects concerning european citizenship 
"
"COMMUNITY STATISTICS ON DESC-EXTERNAL TRADE
","community statistics on external trade 
"
"ESTABLISHMENT RESIDUE LIMIT DESC-PHARMACOLOGICALLY DESC-ACTIVE SUBSTANCE IN FOODSTUFF ANIMAL ORIGIN
","establishment of residue limits of pharmacologically active substances in foodstuffs of animal origin 
"
"COMMUNITY CODE ON VISA
","community code on visas 
"
"COMMUNITY ECOLABEL SCHEME
","community ecolabel scheme 
"
"BEFORE DESC-FINAL VOTE
","before the final vote 
"
"MR PRESIDENT , X-I DESC-FULLY AGREE .
","member of the commission . mr president , I fully agree .
"
"APPLAUSE
","applause 
"
"PARLIAMENT APPROVE MOTION
","parliament approved the motion 
"
"DESC-VOLUNTARY PARTICIPATION BY ORGANIZATION IN COMMUNITY ECO MANAGEMENT AND AUDIT SCHEME EMA
","voluntary participation by organisations in a community eco management and audit scheme emas 
"
"DESC-EQUAL TREATMENT PERSON DESC-IRRESPECTIVE RELIGION OR BELIEF , DISABILITY , AGE OR DESC-SEXUAL ORIENTATION
","equal treatment of persons irrespective of religion or belief , disability , age or sexual orientation 
"
"INTERIM TRADE AGREEMENT WITH TURKMENISTAN VOTE
","interim trade agreement with turkmenistan vote 
"
"BEFORE VOTE
","before the vote 
"
"X-WE DO DESC-NOT HAVE TIME TO DISCUSS SE DOCUMENT DESC-ADEQUATELY , DESC-HOWEVER .
","we did not have time to discuss these documents adequately , however .
"
"X-I WOULD DESC-REFORE BE DESC-GRATEFUL FOR POSTPONEMENT .
","i would therefore be grateful for a postponement .
"
"X-IT WOULD BE DESC-GREAT SHAME IF THIS DOCUMENT HAVE TO SUFFER FROM THIS PROBLEM .
","it would be a great shame if this document had to suffer from this problem .
"
"X-WE DO DESC-NOT OBJECT TO POSTPONEMENT .
","member of the commission . we do not object to the postponement .
"
"PARLIAMENT DECIDE TO POSTPONE VOTE
","parliament decided to postpone the vote 
"
"INTERIM TRADE AGREEMENT WITH TURKMENISTAN VOTE
","interim trade agreement with turkmenistan vote 
"
"PARLIAMENT DECIDE TO REFER REPORT DESC-BACK TO COMMITTEE
","parliament decided to refer the report back to committee 
"
"BUS DESC-ANNUAL EVALUATION EU BELARUS DIALOGUE VOTE
","bi annual evaluation of the eu belarus dialogue vote 
"
"BEFORE VOTE
","before the vote 
"
"X-YOU CAN DESC-NOT DESC-ALWAYS DESC-JUST MAKE DESC-ORAL MOTION WITHOUT INFORMATION .
","you cannot always just make oral motions without information .
"
"EUROPEAN CONSCIENCE AND TOTALITARIANISM VOTE
","european conscience and totalitarianism vote 
"
"BEFORE VOTE ON PARAGRAPH 3
","before the vote on paragraph 3 
"
"X-I WOULD DESC-NOT LIKE TO DELETE TRUTH DESC-NOW .
","i would not like to delete the truth now .
"
"PLEASE AGREE THATTRUTHBE INSERT RECONCILIATION WITH TRUTH AND REMEMBRANCE .
","please agree thattruthbe inserted reconciliation with truth and remembrance .
"
"PLEASE VOTE FOR TRUTH .
","please vote for truth .
"
"INTERJECTION FROM FLOOR
","interjection from the floor 
"
"MR PRESIDENT , THIS BE DESC-MINOR CORRECTION .
","mr president , this is a minor correction .
"
"TEXT DESC-NOW READSWHEREA DESC-CENTRAL EUROPEAN COUNTRY HAVE ADD EXPERIENCE COMMUNISM .
","the text now readswhereas the central european countries had the added experience of communism.
"
"PL MR PRESIDENT , X-I WOULD DESC-JUST LIKE TO ADD THAT X-I DESC-ALSO SIGN RESOLUTION .
","pl mr president , I would just like to add that I also signed the resolution .
"
"X-I WOULD DESC-REFORE ASK X-YOU TO ADD X-MY NAME .
","i would therefore ask you to add my name .
"
"ROLE CULTURE IN DEVELOPMENT EUROPEAN REGION VOTE
","the role of culture in the development of european regions vote 
"
"RECOMMENDATION TO COUNCIL ON DESC-NEW EU RUSSIUM AGREEMENT
","recommendation to the council on the new eu russia agreement 
"
"OPEN DESC-INTERNATIONAL NEGOTIATION IN VIEW ADOPT DESC-INTERNATIONAL TREATY FOR PROTECTION ARCTIC VOTE
","opening of international negotiations in view of adopting an international treaty for the protection of the arctic vote 
"
"BEFORE VOTE
","before the vote 
"
"X-I DO DESC-SO ON FOOT WHAT COMMISSIONER FERRERO WALDNER SAY DESC-HERE DESC-LAST NIGHT IN DEBATE .
","i do so on foot of what commissioner ferrero waldner said here last night in the debate .
"
"IN X-SHE CONCLUSION , X-SHE DESC-SPECIFICALLY REFER TO TIMING X-WE MOTION .
","in her conclusion , she specifically referred to the timing of our motion .
"
"DESC-SO X-SHE DESC-VERY DESC-CLEARLY ASK FOR POSTPONEMENT , DESC-EVEN THOUGH X-SHE DESC-FULLY SHARE X-WE SENTIMENT .
","so she very clearly asked for a postponement , even though she fully shares our sentiments .
"
"ON THAT BASIS , COULD X-I SUGGEST X-WE CONSIDER REFER X-IT DESC-BACK TO COMMITTEE ?
","on that basis , could I suggest we consider referring it back to committee ?
"
"X-I THINK X-IT HAVE DESC-MUCH MERIT .
","i think it has much merit .
"
"HOUSE HAVE RESOLUTION ON THIS ISSUE IN OCTOBER DESC-LAST YEAR .
","the house had a resolution on this issue in october of last year .
"
"THIS BE WHAT RULE PROCEDURE DICTATE .
","this is what the rules of procedure dictate .
"
"APPLAUSE
","applause 
"
"HEALTH CONCERN ASSOCIATE WITH DESC-ELECTROMAGNETIC FIELD
","health concerns associated with electromagnetic fields 
"
"DESC-BETTER SCHOOL AGENDA FOR EUROPEAN COOPERATION
","better schools an agenda for european cooperation 
"
"VOTE TIME
","voting time
"
"NEXT ITEM BE VOTE TIME .
","the next item is voting time .
"
"FOR RESULT AND DESC-OR DETAIL VOTE SEE MINUTE
","for results and other details of the vote see minutes 
"
"EXPLANATION VOTE
","explanations of vote
"
"DESC-ORAL EXPLANATION VOTE
","oral explanations of vote
"
"DESC-RE BE DESC-CLEAR AND DESC-UNAMBIGUOUS EVIDENCE THAT DESC-MANY CHILD FROM MIGRANT FAMILY BE DESC-LESS EDUCATE THAN X-Y PEER .
","there is clear and unambiguous evidence that many children from migrant families are less educated than their peers .
"
"X-I DESC-WELCOME REPORT MR TAKKULUM AND X-I HAVE SUPPORT X-IT .
","i welcome the report of mrs takkula and I have supported it .
"
"X-WE EDUCATION SYSTEM SHOULD DESC-NOT HAVE TO BE ADAPT TO CULTURE DESC-OR PEOPLE .
","our education systems should not have to be adapted to the cultures of other peoples .
"
"THIS HAVE NOTHING TO DO WITH CULTURE EUROPEAN UNION .
","this has nothing to do with the culture of the european union .
"
"DESC-LEAN X-POSS REPORT . X-I COULD DESC-NOT ENDORSE MR V ?
","pl mr president , I could not endorse mrs vălean's report .
"
"X-IT CREATE DESC-LEGAL CHAOS .
","it creates legal chaos .
"
"X-I PROTEST AGAINST DESC-CONSTANT BREACH PRINCIPLE SUBSIDIARITY IN THIS CHAMBER .
","i protest against the constant breaches of the principle of subsidiarity in this chamber .
"
"POWER INTERNET BE DESC-SUPREMELY DESC-IMPORTANT , BUT BE DESC-EVEN MORE DESC-IMPORTANT OVER DESC-REGULAR MEDIA .
","the power of the internet is supremely important , but is even more important over the regular media .
"
"THAT BE PRIDE WHICH X-I HAVE AND WILL CONTINUE TO HAVE IN YEAR TO COME .
","that is the pride which I have and will continue to have in the years to come .
"
"FR MR PRESIDENT , DESC-ANCIENT GREEK HAVE DESC-ALREADY DISCUSS QUESTION WITH WHICH X-WE BE CONCERN .
","fr mr president , the ancient greeks have already discussed the questions with which we are concerned .
"
"X-IT WILL DESC-NOT SURPRISE X-YOU TO LEARN THAT X-I BE DESC-RESOLUTELY IN FAVOR DESC-FIRST SE ARRANGEMENT .
","it will not surprise you to learn that I am resolutely in favour of the first of these arrangements .
"
"IN FACT , EUROPEAN CITIZENSHIP BE DESC-HIGHLY DESC-ARTIFICIAL IN NATURE .
","in fact , european citizenship is highly artificial in nature .
"
"RAPPORTEUR REGRET ABOVE ALL THAT CITIZEN BE DESC-UNAWARE RIGHTS THAT X-IT WOULD GIVE X-Y .
","the rapporteur regrets above all that the citizens are unaware of the rights that it would give them .
"
"MR PRESIDENT , CITIZENSHIP DEFINE WHO X-WE BE .
","mr president , citizenship defines who we are .
"
"X-IT BE BEDROCK X-WE IDENTITY .
","it is the bedrock of our identity .
"
"CITIZENSHIP LIE IN MEMBER STATE .
","citizenship lies in member states .
"
"X-IT SHOULD DESC-NOT BE DIVERT AND X-IT SHOULD DESC-NOT BE SHARE .
","it should not be diverted and it should not be shared .
"
"X-I REJECT THAT PHILOSOPHY AS X-I REJECT LISBON TREATY .
","i reject that philosophy as I reject the lisbon treaty .
"
"MR PRESIDENT , THIS BE BECOME BIT DESC-FAMILIAR REFRAIN , TO AGREE WITH X-MY COLLEAGUE .
","mr president , this is becoming a bit of a familiar refrain , to agree with my colleagues .
"
"DESC-MANY X-MY CONSTITUENT AND X-MYSELF BE DESC-ALSO DESC-UNHAPPY ABOUT BE FORCE TO BECOME , DESC-EFFECTIVELY , EUROPEAN CITIZEN .
","many of my constituents and myself are also unhappy about being forced to become , effectively , european citizens .
"
"COURSE DESC-RE SHOULD BE REFERENDUM ON LISBON TREATY .
","of course there should be a referendum on the lisbon treaty .
"
"BUT X-WE SHOULD DESC-ALSO BE ASK WHER X-WE WISH TO BE EUROPEAN CITIZEN IN ADDITION TO X-WE NATION CITIZENSHIP .
","but we should also be asked whether we wish to be european citizens in addition to our nation citizenship .
"
"MR PRESIDENT , X-I BE DESC-NOT , DESC-FIRST AND DESC-FOREMOST , EUROPEAN UNION CITIZEN .
","mr president , I am not , first and foremost , a european union citizen .
"
"X-I BE DESC-IRISH CITIZEN AND , AS DESC-COMPLEMENTARY ADJUNCT TO THAT , X-I BE EUROPEAN CITIZEN .
","i am an irish citizen and , as a complementary adjunct to that , I am a european citizen .
"
"X-I HAVE LEARN LOT DESC-HERE TODAY .
","i have learned a lot here today .
"
"X-I DO DESC-NOT REALIZE X-WE BRITISH COLLEAGUE BE CITIZEN .
","i did not realise our british colleagues were citizens .
"
"X-I THINK X-Y BE SUBJECT .
","i thought they were subjects .
"
"BUT X-I HAVE NO DIFFICULTY WITH WORDSSUBJECTSANDCITIZEN .
","but I have no difficulty with the wordssubjectsandcitizens.
"
"X-I DESC-REALLY DO DESC-NOT UNDERSTAND POINT THAT HAVE BE MAKE DESC-HERE TODAY .
","i really do not understand the point that has been made here today .
"
"SE BE DESC-COMPLEMENTARY ADJUNCT TO X-WE DESC-NATIONAL CITIZENSHIP AND X-I DESC-CERTAINLY HAVE NO DIFFICULTY DESC-WHATSOEVER WITH THAT .
","these are complementary adjuncts to our national citizenships and I certainly have no difficulty whatsoever with that .
"
"MR PRESIDENT , MAY X-I CONCUR WITH DESC-LAST SPEAKER .
","mr president , may I concur with the last speaker .
"
"SE BE DESC-DIFFERENT DIMENSION TO X-WE IDENTITY AND X-WE CITIZENSHIP .
","these are different dimensions to our identity and our citizenship .
"
"X-Y BE DESC-NOT DESC-CONTRADICTORY BUT DESC-COMPLEMENTARY .
","they are not contradictory but complementary .
"
"COURSE , NO CITIZENSHIP THAT KIND HAVE BE ATTRIBUTE BY REFERENDUM .
","of course , no citizenship of that kind has been attributed by referendum .
"
"FOCUS ON COHESION POLICY BE SENSIBLE WAY FOR X-WE TO FULFIL X-WE OBLIGATION TO COMMUNITY AND ECONOMY .
","focusing on cohesion policy is a sensible way for us to fulfil our obligation to communities and economies .
"
"CHANGE , AS DESC-MUCH DESC-ELSE , BEGIN AT HOME .
","change , as much else , begins at home .
"
"X-WE ALL AGREE THAT DESC-RE SHOULD BE DESC-BETTER ENERGY EFFICIENCY AND DESC-BETTER ENERGY CONSERVATION .
","we all agree that there should be better energy efficiency and better energy conservation .
"
"BUT DESC-SURELY EUROPEAN PARLIAMENT SHOULD BE SET EXAMPLE .
","but surely the european parliament should be setting an example .
"
"THIS WILL HELP DESC-BETTER DESC-CULTURAL EXCHANGE AND COOPERATION BETWEEN EU AND DESC-THIRD COUNTRY .
","this will help better cultural exchange and cooperation between the eu and third countries .
"
"X-I THINK X-IT BE DESC-ESSENTIAL TO SIMPLIFY VISA PROCEDURE FOR PEOPLE WHO HAVE FAMILY IN MEMBER STATE .
","i think it is essential to simplify visa procedures for people who have family in member states .
"
"X-I WILL GIVE POLAND AS EXAMPLE .
","i will give poland as an example .
"
"SE PEOPLE DO DESC-NOT HOLD POLISH CITIZENSHIP , BUT X-Y DESC-OFTEN CROSS BORDER TO VISIT X-Y DESC-RELATIVE .
","these people do not hold polish citizenship , but they often cross the border to visit their relatives .
"
"REPORT BE DESC-IMPORTANT FOR DEVELOPMENT CONTACT BETWEEN EU AND DESC-THIRD COUNTRY .
","the report is important for development of contacts between the eu and third countries .
"
"THIS WILL FIT IN WITH DESC-OR MARKET BASE SOLUTION TO CLIMATE CHANGE , DESC-SUCH AS TAX REDUCTION ON ECO DESC-FRIENDLY GOODS .
","this will fit in with other market based solutions to climate change , such as tax reductions on eco friendly goods .
"
"TEN MEMBER STATE HAVE DESC-STILL DESC-NOT TRANSPOSE EXIST ANTI DISCRIMINATION DIRECTIVE AT ALL .
","ten member states have still not transposed the existing anti discrimination directive at all .
"
"X-WE BE DESC-ALSO OPPOSE TO GRANT DESC-COMPLETE EQUIVALENCE STATUS TO DESC-TRADITIONAL AND DESC-SAME SEX MARRIAGE .
","we are also opposed to granting complete equivalence of status to traditional and same sex marriages .
"
"X-WE BE OPPOSE TO THAT IDEA .
","we are opposed to that idea .
"
"X-WE DESC-REFORE VOTE AGAINST REPORT AND IN FAVOR REFER PROPOSAL DESC-BACK TO COMMISSION .
","we therefore voted against the report and in favour of referring the proposal back to the commission .
"
"MR PRESIDENT , X-I ABSTAIN ON THIS MATTER FOR TWO REASON .
","mr president , I abstained on this matter for two reasons .
"
"DESC-FIRST ALL , X-WE ALL ACCEPT SOME DISCRIMINATION .
","first of all , we all accept some discrimination .
"
"X-I SUPPORT THAT .
","i support that .
"
"X-I SUPPORT FAITH SCHOOL .
","i support faith schools .
"
"BUT PRINCIPAL REASON WHY X-I ABSTAIN BE BECAUSE THIS TURN WHOLE PRINCIPLE JURISPRUDENCE DESC-UPSIDE DESC-DOWN .
","but the principal reason why I abstained was because this turns the whole principle of jurisprudence upside down .
"
"X-WE BE DESC-INNOCENT UNTIL X-WE BE PROVE DESC-GUILTY .
","we are innocent until we are proved guilty .
"
"THIS TURN BURDEN PROOF DESC-OR WAY ROUND , AND THAT , DESC-FRANKLY , BE DESC-UNACCEPTABLE .
","this turns the burden of proof the other way round , and that , frankly , is unacceptable .
"
"COURSE X-WE BE ALL AGAINST DISCRIMINATION .
","of course we are all against discrimination .
"
"THAT BE WHY X-I ABSTAIN .
","that is why I abstained .
"
"X-WE BE WORLD DESC-AWAY FROM DESC-REAL SITUATION .
","we are a world away from the real situation .
"
"X-IT BE DESC-REFORE DESC-RIGHT TO SEND OUT SIGNAL , AS PARLIAMENT HAVE DO WITH X-MY SUPPORT .
","it is therefore right to send out a signal , as parliament has done with my support .
"
"X-I REGRET ALL CONTROVERSY THAT HAVE SURROUND THIS REPORT .
","i regret all of the controversy that has surrounded this report .
"
"WHAT THIS REPORT DO BE TO DESC-CORRECT DESC-ANOMALY .
","what this report does is to correct an anomaly .
"
"X-IT BE DESC-RIGHT THAT X-WE DESC-CORRECT THAT DESC-ANOMALY .
","it is right that we correct that anomaly .
"
"ABOVE ALL , X-IT BEAR WITNESS TO DESC-EXCEPTIONAL LEVEL DISTRUST IN RESPECT MEMBER STATE X-MSELVES .
","above all , it bears witness to exceptional levels of distrust in respect of the member states themselves .
"
"DESC-HERE DESC-TOO , THOUGH , X-I BE CONVINCE THAT THING BE DESC-BEST LEAVE TO MEMBER STATE TO ORGANISE .
","here too , though , I am convinced that things are best left to the member states to organise .
"
"MR PRESIDENT , THIS REPORT REST ON DESC-CONCEPTUAL MISUNDERSTANDING .
","mr president , this report rests on a conceptual misunderstanding .
"
"OUTSIDE THIS CHAMBER , EQUALITY MEAN DESC-RIGHT PEOPLE TO BE TREAT DESC-SAME .
","outside this chamber , equality means the right of people to be treated the same .
"
"DESC-HERE IN THIS CHAMBER , X-WE BE USE X-IT TO MEAN DESC-RIGHT PEOPLE TO BE TREAT DESC-DIFFERENTLY .
","here in this chamber , we are using it to mean the right of people to be treated differently .
"
"THAT BE DESC-CRITICAL POINT .
","that is a critical point .
"
"ANTI DISCRIMINATION LEGISLATION THIS KIND BE DESC-NOT REFINEMENT PRINCIPLE EQUALITY UNDER LAW .
","anti discrimination legislation of this kind is not a refinement of the principle of equality under the law .
"
"X-IT BE OPPOSE PRINCIPLE .
","it is an opposing principle .
"
"X-I BELIEVE THAT THIS REPORT BY MR BUITENWEG BE DESC-PERFECT ILLUSTRATION THIS .
","i believe that this report by mrs buitenweg is a perfect illustration of this .
"
"THIS DESC-RIGHT MUST TAKE PRECEDENCE OVER DESC-RIGHT PERSON DESC-SAME SEX TO ADOPT CHILD .
","this right must take precedence over the right of persons of the same sex to adopt a child .
"
"X-IT BE DESC-NATURAL FOR DISTINCTION TO BE MAKE ON BASIS NATIONALITY .
","it is natural for distinctions to be made on the basis of nationality .
"
"THIS BE DESC-REAL STEP TOWARDS DESC-SOFT TOTALITARIANISM THAT BE THIS DESC-NEW DOCTRINE DESC-POLITICAL CORRECTNESS .
","this is a real step towards the soft totalitarianism that is this new doctrine of political correctness .
"
"X-I , DESC-PERSONALLY ALONG WITH MAJORITY X-MY GROUP VOTEDNO .
","i , personally along with the majority of my group votedno.
"
"WHY BE THAT ?
","why was that ?
"
"X-I WILL MENTION TWO EXAMPLE .
","i will mention two examples .
"
"FOR THAT REASON X-I VOTE AGAINST MR BUITENWEG X-POSS REPORT TODAY .
","for that reason I voted against mrs buitenweg's report today .
"
"X-I REGARD THAT AS DESC-COMPLETELY DESC-ILLEGITIMATE .
","i regard that as completely illegitimate .
"
"IN X-MY CONSTITUENCY , WEST MIDLAND , X-WE BE THREATEN WITH RISE DESC-FAR DESC-RIGHT POLITICS .
","in my constituency , the west midlands , we are threatened with the rise of far right politics .
"
"X-I DO DESC-NOT BELIEVE DESC-RE BE ANY NEED FOR EUROPEAN LEGISLATION IN SE MATTER .
","i do not believe there is any need for european legislation in these matters .
"
"BUT X-I BELIEVE THAT , DESC-FUNDAMENTALLY , X-WE BE DESC-OPEN DESC-HUGE CAN WORM .
","but I believe that , fundamentally , we are opening a huge can of worms .
"
"DOCUMENT BREACH PRINCIPLE SUBSIDIARITY , WHICH BE BECOME DESC-INCREASINGLY DESC-COMMON PRACTICE IN EUROPEAN PARLIAMENT .
","the document breaches the principle of subsidiarity , which is becoming an increasingly common practice in the european parliament .
"
"X-I VOTE FOR BOTH PART RECITAL 17 , AMENDMENT X-IT BE FOR THAT REASON THAT X-I VOTE FOR REPORT .
","i voted for both parts of recital 17 , amendment it is for that reason that I voted for the report .
"
"MR PRESIDENT , X-I SUPPORT RESOLUTION ON EVALUATION EU BELARUS DIALOGUE .
","mr president , I supported the resolution on the evaluation of the eu belarus dialogue .
"
"PRESIDENT LUKASHENKO SEEM TO BE SEEK DESC-BETTER RELATION WITH BOTH EUROPEAN UNION AND RUSSIAN FEDERATION .
","president lukashenko seems to be seeking better relations with both the european union and the russian federation .
"
"X-I SHOULD DESC-NEVERLESS LIKE TO MAKE DESC-FEW COMMENT .
","i should nevertheless like to make a few comments .
"
"X-IT BE DESC-UNFORTUNATE THAT X-WE HAVE LET BOTH SE OPPORTUNITY SLIP .
","it is unfortunate that we have let both these opportunities slip .
"
"DOCUMENT BE BALANCE , AND ONE COULD SAY THIS ABOUT X-IT DESC-BETTER DESC-LATE THAN DESC-NEVER .
","the document is balanced , and one could say this about it better late than never .
"
"DESC-ACTUALLY , X-IT BE MOST X-WE CAN DO IN THIS HOUSE DESC-TOGER IN NAME JUSTICE .
","actually , it is the most we can do in this house together in the name of justice .
"
"X-WE OWE X-WE PARENT AND GRANDPARENT FIRM DESC-PARLIAMENTARY MESSAGE , AND THAT BE WHAT X-WE HAVE PRODUCE TODAY .
","we owe our parents and grandparents a firm parliamentary message , and that is what we have produced today .
"
"TRUTH AND MEMORY HAVE DESC-IMPORTANT ROLE IN CONNECTION WITH THIS .
","truth and memory have an important role in connection with this .
"
"X-WE DUTY BE TO ENSURE RESPECT FOR PRINCIPLE RULE LAW .
","our duty is to ensure respect for the principles of the rule of law .
"
"MR PRESIDENT , THIS RESOLUTION RECALL HORROR FASCISM AND DESC-SOVIET COMMUNISM .
","mr president , this resolution recalls the horrors of fascism and of soviet communism .
"
"NO EUROPEAN , NO CHILD DESC-WESTERN CIVILISATION , NO DESC-CIVILISED DESC-HUMAN BE COULD DISAGREE .
","no european , no child of western civilisation , no civilised human being could disagree .
"
"BUT X-IT DESC-N GO ON TO POSIT EUROPEAN UNION AS ALTERNATIVE OR ANTIDOTE TO DESC-SUCH TOTALITARIANISM .
","but it then goes on to posit the european union as an alternative or antidote to such totalitarianism .
"
"X-IT BE DESC-HERE , X-MY FRIEND , THAT X-YOU MAKE X-YOU BLOOMER .
","it is here , my friends , that you make your bloomer .
"
"EUROPEAN UNION BE DESC-NOT SAFEGUARD DEMOCRACY , EIR DESC-INTERNALLY OR DESC-EXTERNALLY .
","the european union is not safeguarding democracy , either internally or externally .
"
"AT HOME X-IT BE STRIKE DESC-DOWN REFERENDUM RESULT WHEN X-Y GO AGAINST CLOSER INTEGRATION .
","at home it is striking down referendum results when they go against closer integration .
"
"DESC-NOW COURSE , ONE HAVE TO BE DESC-CAREFUL MAKE DESC-SUCH PARALLEL .
","now of course , one has to be careful making such parallels .
"
"X-IT BE PLEASE TO SEE THAT NUMBER AMENDMENT THAT TEND TO CONTAMINATE THIS TEXT HAVE BE WITHDRAW .
","it is pleasing to see that a number of amendments that tended to contaminate this text have been withdrawn .
"
"X-WE FELLOW MEMBER , JACQUE TOUBON , CALL X-IT STALINIST WHEN X-IT BE ADOPT .
","our fellow member , jacques toubon , called it stalinist when it was adopted .
"
"X-IT BE DESC-NOT WITH TOTALITARIAN METHOD THAT ONE CAN FIGHT TOTALITARIANISM .
","it is not with totalitarian methods that one can fight totalitarianism .
"
"X-I CAN DESC-NOT AGREE WITH RHETORIC THAT THIS BE ATTEMPT TO REWRITE HISTORY .
","i cannot agree with the rhetoric that this is an attempt to rewrite history .
"
"NOR CAN X-I SUPPORT APPROACH THAT X-WE SHOULD LET HISTORIAN DECIDE WHAT HAPPEN .
","nor can I support the approach that we should let historians decide what happened .
"
"MR PRESIDENT , THANK X-YOU FOR GIVE X-I THIS OPPORTUNITY TO EXPLAIN HOW X-I VOTE ON THIS ISSUE .
","mr president , thank you for giving me this opportunity to explain how I voted on this issue .
"
"DESC-RE BE TWO DESC-INTERESTING SENTENCE IN REPORT THAT MERIT DESC-FURR ATTENTION .
","there were two interesting sentences in the report that merit further attention .
"
"X-I DESC-REALLY WONDER WHER DESC-RE BE NEED FOR DESC-SUCH DEBATE .
","i really wonder whether there is need for such a debate .
"
"X-IT BE DESC-QUITE DESC-CLEAR WHAT DESC-COMMON THREAD BE BETWEEN DESC-SOVIET SOCIALISM AND DESC-NATIONAL SOCIALISM .
","it is quite clear what the common thread is between soviet socialism and national socialism .
"
"CLUE BE IN PHRASE , AND ANSWER ISSOCIALISM .
","the clue is in the phrase , and the answer issocialism.
"
"X-WE SHOULD BE DESC-CAREFUL X-IT BE DESC-NOT DESC-FIRST STEP TOWARDS TOTALITARIANISM .
","we should be careful it is not the first step towards totalitarianism .
"
"X-IT MR PRESIDENT , DESC-SOVIET TOTALITARIANISM DO DESC-NOT DESC-ONLY IMPRISON PEOPLE .
","it mr president , soviet totalitarianism did not only imprisoned people .
"
"DESC-UNFORTUNATELY X-IT DESC-ALSO IMPRISON HISTORY AND X-ITS DOCUMENT .
","unfortunately it also imprisoned history and its documents .
"
"MILLION PAGE HISTORY HAVE BE KEEP HIDE IN SECRET ARCHIVE THAT DESC-STILL EXIST IN MOSCOW .
","millions of pages of history have been kept hidden in the secret archives that still exist in moscow .
"
"X-WE WOULD LIKE X-WE HISTORY TO BE DESC-ACCESSIBLE .
","we would like our history to be accessible .
"
"EUROPE MUST DEMAND THIS , X-IT MUST ACHIEVE X-IT .
","europe must demand this , it must achieve it .
"
"THIS BE DESC-IMPORTANT ELEMENT IN X-WE HISTORY .
","this is an important element in our history .
"
"DESC-HOWEVER , X-WE BELIEVE THAT MAJORITY DECISION BY PARLIAMENT BE DESC-NOT DESC-COMPETENT TO INTERPRET DESC-HISTORIC FACT .
","however , we believe that majority decisions by parliament are not competent to interpret historic facts .
"
"EVALUATION DESC-HISTORIC FACT BE JOB HISTORIAN AND HISTORIAN DESC-ALONE .
","the evaluation of historic facts is the job of historians and historians alone .
"
"MR PRESIDENT HAVE THIS HOUSE NO SENSE SELF AWARENESS ?
","mr president has this house no sense of self awareness ?
"
"X-MY FRIEND , CULTURE CAN DESC-NOT BE CREATE BY DESC-BUREAUCRATIC FIAT .
","my friends , culture cannot be created by bureaucratic fiat .
"
"BRUSSELS INSTITUTION BE DESC-NOT ROOT IN ANY NATION , IN ANY DEMO , IN ANY DESC-CULTURAL UNIT .
","the brussels institutions are not rooted in any nation , in any demos , in any cultural unit .
"
"IF X-WE DESC-REALLY WANT TO WIN X-WE PUBLIC OVER , X-WE CAN DESC-NOT DO X-IT BY SUBSIDISE FOLK DANCING .
","if we really want to win our publics over , we cannot do it by subsidising folk dancing .
"
"PACTIO OLISIPIENSIS CENSENDA EST !
","pactio olisipiensis censenda est !
"
"THIS BE POINT OUT IN X-WE RESOLUTION , AND X-I SUPPORT POSITION .
","this is pointed out in our resolution , and I support the position .
"
"X-IT BE TIME FOR ACTION .
","it is time for action .
"
"THOSE STEP UNDERMINE TERRITORIAL INTEGRITY GEORGIUM AS INSIST UPON IN DESC-RELEVANT UNITE NATION RESOLUTION .
","those steps undermine the territorial integrity of georgia as insisted upon in the relevant united nations resolutions .
"
"X-IT BE KIND X-YOU TO BRING X-I ON DESC-NOW .
","it is kind of you to bring me on now .
"
