id,text,gloss
20306,"such agreements already exist in the case of kazakhstan , kyrgyzstan and uzbekistan .","DESC-SUCH AGREEMENT DESC-ALREADY EXIST IN CASE KAZAKHSTAN , KYRGYZSTAN AND UZBEKISTAN ."
20307,without it the implementation of our goals and interests in central asia would be very difficult .,WITHOUT X-IT IMPLEMENTATION X-WE GOAL AND INTEREST IN DESC-CENTRAL ASIA WOULD BE DESC-VERY DESC-DIFFICULT .
20308,"indeed , the new leaders are demonstrating a more open attitude .","DESC-INDEED , DESC-NEW LEADER BE DEMONSTRATE MORE DESC-OPEN ATTITUDE ."
20309,"furthermore , as you know , reforms in the education and healthcare sectors are now priorities for the government .","DESC-FURRMORE , AS X-YOU KNOW , REFORM IN EDUCATION AND HEALTHCARE SECTOR BE DESC-NOW PRIORITY FOR GOVERNMENT ."
20310,"however , the interim trade agreement is clearly not a cure all .","DESC-HOWEVER , INTERIM TRADE AGREEMENT BE DESC-CLEARLY DESC-NOT CURE ALL ."
20311,it is important for it to be actively neutral in a very tense region that is ripe for destabilisation .,X-IT BE DESC-IMPORTANT FOR X-IT TO BE DESC-ACTIVELY DESC-NEUTRAL IN DESC-VERY DESC-TENSE REGION THAT BE DESC-RIPE FOR DESTABILISATION .
20312,"as we all know , central asia could play a very important role where energy security is concerned .","AS X-WE ALL KNOW , DESC-CENTRAL ASIA COULD PLAY DESC-VERY DESC-IMPORTANT ROLE WHERE ENERGY SECURITY BE CONCERN ."
20313,"since the regime change in turkmenistan , we have increased our cooperation in this area .","SINCE REGIME CHANGE IN TURKMENISTAN , X-WE HAVE INCREASE X-WE COOPERATION IN THIS AREA ."
20314,"clearly , turkmenistan is crucial to the success of this project .","DESC-CLEARLY , TURKMENISTAN BE DESC-CRUCIAL TO SUCCESS THIS PROJECT ."
20315,"to conclude , our relations with turkmenistan must be shaped as much by our values as by our interests .","TO CONCLUDE , X-WE RELATION WITH TURKMENISTAN MUST BE SHAPE AS DESC-MUCH BY X-WE VALUE AS BY X-WE INTEREST ."
20316,"speak in your mother tongue , if this is possible .","SPEAK IN X-YOU MOR TONGUE , IF THIS BE DESC-POSSIBLE ."
20317,avoid changing language when you speak .,AVOID CHANGE LANGUAGE WHEN X-YOU SPEAK .
20318,clearly give references to documents .,DESC-CLEARLY GIVE REFERENCE TO DOCUMENT .
20319,articulate clearly any figure that is mentioned .,ARTICULATE DESC-CLEARLY ANY FIGURE THAT BE MENTION .
20320,explain abbreviations that you use in what you say .,EXPLAIN ABBREVIATION THAT X-YOU USE IN WHAT X-YOU SAY .
20321,"remember that jokes are difficult to translate , and talk to the interpreters .","REMEMBER THAT JOKE BE DESC-DIFFICULT TO TRANSLATE , AND TALK TO INTERPRETER ."
20322,i welcome this report and congratulate mr caspary on it .,X-I DESC-WELCOME THIS REPORT AND CONGRATULATE MR CASPARY ON X-IT .
20323,turkmenistan's energy and foreign policies are closely linked .,TURKMENISTAN X-POSS ENERGY AND DESC-FOREIGN POLICY BE DESC-CLOSELY LINK .
20324,"i think it is easy to understand , because we have a very simple case .","X-I THINK X-IT BE DESC-EASY TO UNDERSTAND , BECAUSE X-WE HAVE DESC-VERY DESC-SIMPLE CASE ."
20325,i hope this is understandable to you and I hope you can solve the problem .,X-I HOPE THIS BE DESC-UNDERSTANDABLE TO X-YOU AND X-I HOPE X-YOU CAN SOLVE PROBLEM .
20326,"the same is true for paragraph 10 , and this is important for the council as well .","DESC-SAME BE DESC-TRUE FOR PARAGRAPH 10 , AND THIS BE DESC-IMPORTANT FOR COUNCIL AS DESC-WELL ."
20327,we would like to see a revision clause .,X-WE WOULD LIKE TO SEE REVISION CLAUSE .
20328,monitoring does not mean that we want to sit at the negotiating table .,MONITORING DO DESC-NOT MEAN THAT X-WE WANT TO SIT AT NEGOTIATE TABLE .
20329,"by the way , I think you have done great work .","BY WAY , X-I THINK X-YOU HAVE DO DESC-GREAT WORK ."
20330,all the points are covered in the new eu central asia partnership agreement for the 21st century .,ALL POINT BE COVER IN DESC-NEW EU DESC-CENTRAL ASIA PARTNERSHIP AGREEMENT FOR DESC-21ST CENTURY .
20331,several speeches really seem like exercises in self persuasion .,DESC-SEVERAL SPEECH DESC-REALLY SEEM LIKE EXERCISE IN SELF PERSUASION .
20332,"so , between these two extremes , what should we do ?","DESC-SO , BETWEEN SE TWO EXTREME , WHAT SHOULD X-WE DO ?"
20333,"we know that negotiations are under way , but they are not completed .","X-WE KNOW THAT NEGOTIATION BE UNDER WAY , BUT X-Y BE DESC-NOT DESC-COMPLETE ."
20334,my group's proposal is both ambitious and realistic .,X-MY GROUP X-POSS PROPOSAL BE BOTH DESC-AMBITIOUS AND DESC-REALISTIC .
20335,it can be reduced to a simple formula .,X-IT CAN BE REDUCE TO DESC-SIMPLE FORMULUM .
20336,we cannot sabotage our own policy by renouncing our values .,X-WE CAN DESC-NOT SABOTAGE X-WE DESC-OWN POLICY BY RENOUNCE X-WE VALUE .
20337,"it is not a question of advocating turkmenistan's isolation , but of engaging with the country .","X-IT BE DESC-NOT QUESTION ADVOCATE TURKMENISTAN X-POSS ISOLATION , BUT ENGAGE WITH COUNTRY ."
20338,"so , how should we do this ?","DESC-SO , HOW SHOULD X-WE DO THIS ?"
20339,"well , we should take two pencils , one in each hand .","DESC-WELL , X-WE SHOULD TAKE TWO PENCIL , ONE IN EACH HAND ."
20340,"mrs flautre , the president does not measure the speed at which speakers talk .","MR FLAUTRE , PRESIDENT DO DESC-NOT MEASURE SPEED AT WHICH SPEAKER TALK ."
20341,"thank you , as always , for your understanding .","THANK X-YOU , AS DESC-ALWAYS , FOR X-YOU UNDERSTANDING ."
20342,i freely admit that the government under president berdymukhamedov has made progress .,X-I DESC-FREELY ADMIT THAT GOVERNMENT UNDER PRESIDENT BERDYMUKHAMEDOV HAVE MAKE PROGRESS .
20343,that is uncontested .,THAT BE DESC-UNCONTESTED .
20344,"however , in my opinion , it is in no way sufficient for us to approve this agreement now .","DESC-HOWEVER , IN X-MY OPINION , X-IT BE IN NO WAY DESC-SUFFICIENT FOR X-WE TO APPROVE THIS AGREEMENT DESC-NOW ."
20345,"both you , mr president in office , and you , commissioner , have missed a huge opportunity .","BOTH X-YOU , MR PRESIDENT IN OFFICE , AND X-YOU , COMMISSIONER , HAVE MISS DESC-HUGE OPPORTUNITY ."
20346,that is the point .,THAT BE POINT .
20347,"this was a package deal that was ultimately demanded , but you have said nothing about it .","THIS BE PACKAGE DEAL THAT BE DESC-ULTIMATELY DEMAND , BUT X-YOU HAVE SAY NOTHING ABOUT X-IT ."
20348,i must say here that I get the feeling that you are not taking us seriously .,X-I MUST SAY DESC-HERE THAT X-I GET FEELING THAT X-YOU BE DESC-NOT TAKE X-WE DESC-SERIOUSLY .
20349,at the very least a position statement should have been made on this .,AT DESC-VERY DESC-LEAST POSITION STATEMENT SHOULD HAVE BE MAKE ON THIS .
20350,"i therefore say to you that , under these circumstances , agreement on this interim agreement is not possible .","X-I DESC-REFORE SAY TO X-YOU THAT , UNDER SE CIRCUMSTANCE , AGREEMENT ON THIS INTERIM AGREEMENT BE DESC-NOT DESC-POSSIBLE ."
20351,i hope that we shall together unanimously document this tomorrow .,X-I HOPE THAT X-WE SHALL DESC-TOGER DESC-UNANIMOUSLY DOCUMENT THIS TOMORROW .
20352,"firstly , we said that the international red cross had to have free access to turkmenistan .","DESC-FIRSTLY , X-WE SAY THAT DESC-INTERNATIONAL RED CROSS HAVE TO HAVE DESC-FREE ACCESS TO TURKMENISTAN ."
20353,"secondly , we said that they had to realign their education system with international standards .","DESC-SECONDLY , X-WE SAY THAT X-Y HAVE TO REALIGN X-Y EDUCATION SYSTEM WITH DESC-INTERNATIONAL STANDARD ."
20354,thirdly we have asked for the release of all political prisoners .,DESC-THIRDLY X-WE HAVE ASK FOR RELEASE ALL DESC-POLITICAL PRISONER .
20355,"fourthly , we said that we wanted the abolition of all restrictions to external travel .","DESC-FOURTHLY , X-WE SAY THAT X-WE WANT ABOLITION ALL RESTRICTION TO DESC-EXTERNAL TRAVEL ."
20356,it is interesting that both the council and commission concentrated on internal travel .,X-IT BE DESC-INTERESTING THAT BOTH COUNCIL AND COMMISSION CONCENTRATE ON DESC-INTERNAL TRAVEL .
20357,we said there had to be external travel freedom as well .,X-WE SAY DESC-RE HAVE TO BE DESC-EXTERNAL TRAVEL FREEDOM AS DESC-WELL .
20358,that has not been delivered .,THAT HAVE DESC-NOT BE DELIVER .
20359,is this really a country that we can do business with ?,BE THIS DESC-REALLY COUNTRY THAT X-WE CAN DO BUSINESS WITH ?
20360,why have things changed since the trade committee passed its resolution in 2007 ?,WHY HAVE THING CHANGE SINCE TRADE COMMITTEE PASS X-ITS RESOLUTION IN 2007 ?
20361,it is to do with self interest at european union level .,X-IT BE TO DO WITH SELF INTEREST AT EUROPEAN UNION LEVEL .
20362,"what , in fact , is the reason for agreeing to the agreement with turkmenistan ?","WHAT , IN FACT , BE REASON FOR AGREE TO AGREEMENT WITH TURKMENISTAN ?"
20363,what has been given as justification for this ?,WHAT HAVE BE GIVE AS JUSTIFICATION FOR THIS ?
20364,the justification given was the fact that the absence of an agreement has not produced any results either .,JUSTIFICATION GIVE BE FACT THAT ABSENCE AGREEMENT HAVE DESC-NOT PRODUCE ANY RESULT EIR .
20365,journalists and defenders of human rights there have been gagged .,JOURNALIST AND DEFENDER DESC-HUMAN RIGHTS DESC-RE HAVE BE GAG .
20366,women and children continue to be raped and trafficked .,WOMAN AND CHILD CONTINUE TO BE RAPE AND TRAFFIC .
20367,i am nevertheless convinced that policies of suspending relations and isolation in respect of turkmenistan show little promise .,X-I BE DESC-NEVERLESS CONVINCE THAT POLICY SUSPEND RELATION AND ISOLATION IN RESPECT TURKMENISTAN SHOW DESC-LITTLE PROMISE .
20368,"mr president , there is a lot more to mysterious turkmenistan than just oil and gas .","MR PRESIDENT , DESC-RE BE LOT MORE TO DESC-MYSTERIOUS TURKMENISTAN THAN DESC-JUST OIL AND GAS ."
20369,that is not to say that the country's hydrocarbon resources are not important .,THAT BE DESC-NOT TO SAY THAT COUNTRY X-POSS HYDROCARBON RESOURCE BE DESC-NOT DESC-IMPORTANT .
20370,yet we maintain strategic relations with both these large countries .,DESC-YET X-WE MAINTAIN DESC-STRATEGIC RELATION WITH BOTH SE DESC-LARGE COUNTRY .
20371,"we will encourage further change in turkmenistan through dialogue and partnership , not by isolation .","X-WE WILL ENCOURAGE DESC-FURR CHANGE IN TURKMENISTAN THROUGH DIALOGUE AND PARTNERSHIP , DESC-NOT BY ISOLATION ."
20372,therefore I generally support better relations between the eu and central asian countries .,DESC-REFORE X-I DESC-GENERALLY SUPPORT DESC-BETTER RELATION BETWEEN EU AND DESC-CENTRAL DESC-ASIAN COUNTRY .
20373,journalists and activists are unable to work freely and all opponents are threatened on a daily basis .,JOURNALIST AND ACTIVIST BE DESC-UNABLE TO WORK DESC-FREELY AND ALL OPPONENT BE THREATEN ON DESC-DAILY BASIS .
20374,"so let us avoid being hypocritical , let us make it plain .","DESC-SO LET X-WE AVOID BE DESC-HYPOCRITICAL , LET X-WE MAKE X-IT DESC-PLAIN ."
20375,"mr president , I just wish to agree very much with my colleague , dr charles tannock .","MR PRESIDENT , X-I DESC-JUST WISH TO AGREE DESC-VERY DESC-MUCH WITH X-MY COLLEAGUE , DR CHARLE TANNOCK ."
20376,"thank you , mr beazley .","THANK X-YOU , MR BEAZLEY ."
20377,"now the final speaker , mr martin , has the floor .","DESC-NOW DESC-FINAL SPEAKER , MR MARTIN , HAVE FLOOR ."
20378,"mr president , thank you for giving me the floor .","MR PRESIDENT , THANK X-YOU FOR GIVE X-I FLOOR ."
20379,i want to know precisely how any human rights clause that we agree would be invoked and implemented .,X-I WANT TO KNOW DESC-PRECISELY HOW ANY DESC-HUMAN RIGHTS CLAUSE THAT X-WE AGREE WOULD BE INVOKE AND IMPLEMENT .
20380,how practical will a human rights clause actually be ?,HOW DESC-PRACTICAL WILL DESC-HUMAN RIGHTS CLAUSE DESC-ACTUALLY BE ?
20381,"president in office of the council . mr president , I think it was a useful debate .","MR PRESIDENT , X-I THINK X-IT BE DESC-USEFUL DEBATE ."
20382,the debate concentrated mostly on human rights and that is not surprising for us .,DEBATE CONCENTRATE DESC-MOSTLY ON DESC-HUMAN RIGHTS AND THAT BE DESC-NOT DESC-SURPRISING FOR X-WE .
20383,some of us also touched on cooperation with the red cross .,SOME X-WE DESC-ALSO TOUCH ON COOPERATION WITH RED CROSS .
20384,the czech prime minister was there just recently .,CZECH DESC-PRIME MINISTER BE DESC-RE DESC-JUST DESC-RECENTLY .
20385,he engaged the president in ashgabat in exactly that kind of conversation .,X-HE ENGAGE PRESIDENT IN ASHGABAT IN DESC-EXACTLY THAT KIND CONVERSATION .
20386,this also applies to turkmenistan .,THIS DESC-ALSO APPLY TO TURKMENISTAN .
20387,promoting human rights and supporting democracy in the country must of course continue to be our priority .,PROMOTE DESC-HUMAN RIGHTS AND SUPPORT DEMOCRACY IN COUNTRY MUST COURSE CONTINUE TO BE X-WE PRIORITY .
20388,"yes , they are but they are changes and these changes must be acknowledged and they must be encouraged .","DESC-YES , X-Y BE BUT X-Y BE CHANGE AND SE CHANGE MUST BE ACKNOWLEDGE AND X-Y MUST BE ENCOURAGE ."
20389,so we have to help turkmenistan to help itself .,DESC-SO X-WE HAVE TO HELP TURKMENISTAN TO HELP X-ITSELF .
20390,"we therefore have to engage with the country in a constructive , continuous and strategic manner .","X-WE DESC-REFORE HAVE TO ENGAGE WITH COUNTRY IN DESC-CONSTRUCTIVE , DESC-CONTINUOUS AND DESC-STRATEGIC MANNER ."
20391,"let me also say a few words about suspension , or possible suspension .","LET X-I DESC-ALSO SAY DESC-FEW WORD ABOUT SUSPENSION , OR DESC-POSSIBLE SUSPENSION ."
20392,the commission can make a proposal to that effect .,COMMISSION CAN MAKE PROPOSAL TO THAT EFFECT .
20393,"in addition , technical meetings under the pca , the cooperation committee and the subcommittees , were suspended .","IN ADDITION , DESC-TECHNICAL MEETING UNDER PCA , COOPERATION COMMITTEE AND SUBCOMMITTEE , BE SUSPEND ."
20394,these measures were kept under constant review and renewed or amended as appropriate on an annual basis .,SE MEASURE BE KEEP UNDER DESC-CONSTANT REVIEW AND RENEW OR AMEND AS DESC-APPROPRIATE ON DESC-ANNUAL BASIS .
20395,the inclusion of a specific human rights related suspension clause in the pca would require amending the pca .,INCLUSION SPECIFIC DESC-HUMAN RIGHTS RELATE SUSPENSION CLAUSE IN PCA WOULD REQUIRE AMEND PCA .
20396,therefore a material breach in urgent cases does give the parties the right to take appropriate measures .,DESC-REFORE MATERIAL BREACH IN DESC-URGENT CASE DO GIVE PARTY DESC-RIGHT TO TAKE DESC-APPROPRIATE MEASURE .
20397,"in our view , these measures could also include the suspension of the agreement .","IN X-WE VIEW , SE MEASURE COULD DESC-ALSO INCLUDE SUSPENSION AGREEMENT ."
20398,let us not forget that either .,LET X-WE DESC-NOT FORGET THAT EIR .
20399,only through enhanced commitment will we be able to influence positive developments and improvement of the human rights situation .,DESC-ONLY THROUGH ENHANCE COMMITMENT WILL X-WE BE DESC-ABLE TO INFLUENCE DESC-POSITIVE DEVELOPMENT AND IMPROVEMENT DESC-HUMAN RIGHTS SITUATION .
20400,it has taken us much further down the line .,X-IT HAVE TAKE X-WE DESC-MUCH DESC-FURR DESC-DOWN LINE .
20401,i should like to thank all my honourable friends who worked on this issue with me over recent months .,X-I SHOULD LIKE TO THANK ALL X-MY DESC-HONORABLE FRIEND WHO WORK ON THIS ISSUE WITH X-I OVER DESC-RECENT MONTH .
20402,it would not have been a good idea to postpone the vote .,X-IT WOULD DESC-NOT HAVE BE DESC-GOOD IDEA TO POSTPONE VOTE .
20403,i think that this should be possible within the framework of the current agreements .,X-I THINK THAT THIS SHOULD BE DESC-POSSIBLE WITHIN FRAMEWORK DESC-CURRENT AGREEMENT .
20404,bi annual evaluation of the eu belarus dialogue debate,BUS DESC-ANNUAL EVALUATION EU BELARUS DIALOGUE DEBATE
20405,"these steps , whilst they might appear relatively minor to some , are significant in the belarusian context .","SE STEP , WHILST X-Y MIGHT APPEAR DESC-RELATIVELY DESC-MINOR TO SOME , BE DESC-SIGNIFICANT IN BELARUSIAN CONTEXT ."
20406,this has been acknowledged by some representatives of civil society in belarus .,THIS HAVE BE ACKNOWLEDGE BY SOME REPRESENTATIVE DESC-CIVIL SOCIETY IN BELARUS .
20407,"however , there have also been incidents which are a cause for our concern .","DESC-HOWEVER , DESC-RE HAVE DESC-ALSO BE INCIDENT WHICH BE CAUSE FOR X-WE CONCERN ."
20408,we are also following closely complaints from the opposition overforcible conscriptionto the army .,X-WE BE DESC-ALSO FOLLOW DESC-CLOSELY COMPLAINT FROM OPPOSITION OVERFORCIBLE CONSCRIPTIONTO ARMY .
20409,se we cannot deny that the picture is mixed .,SE X-WE CAN DESC-NOT DENY THAT PICTURE BE DESC-MIXED .
20410,this should be the way forward in our relations with belarus .,THIS SHOULD BE WAY DESC-FORWARD IN X-WE RELATION WITH BELARUS .
20411,these were the considerations which lay behind our decision on 16 march .,SE BE CONSIDERATION WHICH LAY BEHIND X-WE DECISION ON 16 MARCH .
20412,"the launching , in the coming month , of a human rights dialogue will be particularly important .","LAUNCH , IN COME MONTH , DESC-HUMAN RIGHTS DIALOGUE WILL BE DESC-PARTICULARLY DESC-IMPORTANT ."
20413,we hope that the dialogue will continue over the coming months .,X-WE HOPE THAT DIALOGUE WILL CONTINUE OVER COME MONTH .
20414,we are convinced that we need to be constructive with minsk .,X-WE BE CONVINCE THAT X-WE NEED TO BE DESC-CONSTRUCTIVE WITH MINSK .
20415,we remain realistic and do not expect any dramatic changes .,X-WE REMAIN DESC-REALISTIC AND DO DESC-NOT EXPECT ANY DESC-DRAMATIC CHANGE .
20416,belarus is one of the six eastern partnership countries .,BELARUS BE ONE SIX DESC-EASTERN PARTNERSHIP COUNTRY .
20417,we strongly believe that belarus should be involved in this new initiative from the outset .,X-WE DESC-STRONGLY BELIEVE THAT BELARUS SHOULD BE INVOLVE IN THIS DESC-NEW INITIATIVE FROM OUTSET .
20418,i am grateful to the public support which parliament has given to the outcome of the council last monday .,X-I BE DESC-GRATEFUL TO PUBLIC SUPPORT WHICH PARLIAMENT HAVE GIVE TO OUTCOME COUNCIL DESC-LAST MONDAY .
20419,"member of the commission . fr mr president , belarus is at a crossroads .","FR MR PRESIDENT , BELARUS BE AT CROSSROADS ."
20420,belarus has taken measures that are unquestionably along the lines of more democracy .,BELARUS HAVE TAKE MEASURE THAT BE DESC-UNQUESTIONABLY ALONG LINE MORE DEMOCRACY .
20421,"we shall meet with members of civil society before and after this dialogue , to benefit from their expertise .","X-WE SHALL MEET WITH MEMBER DESC-CIVIL SOCIETY BEFORE AND AFTER THIS DIALOGUE , TO BENEFIT FROM X-Y EXPERTISE ."
20422,"years of isolationist policy led nowhere , as the council has somewhat belatedly now realised .","YEAR DESC-ISOLATIONIST POLICY LEAD DESC-NOWHERE , AS COUNCIL HAVE DESC-SOMEWHAT DESC-BELATEDLY DESC-NOW REALIZE ."
20423,but political repression still remains a serious problem in belarus .,BUT DESC-POLITICAL REPRESSION DESC-STILL REMAIN DESC-SERIOUS PROBLEM IN BELARUS .
20424,but it is better than our sticking with the failed boycotting policy of the past decade .,BUT X-IT BE DESC-BETTER THAN X-WE STICK WITH FAIL BOYCOTT POLICY PAST DECADE .
20425,we need to link closer relations to tangible commitments on the regime's part to change its ways .,X-WE NEED TO LINK CLOSER RELATION TO DESC-TANGIBLE COMMITMENT ON REGIME X-POSS PART TO CHANGE X-ITS WAY .
20426,minsk thinks that it is not acceptable to support the opposition like that .,MINSK THINK THAT X-IT BE DESC-NOT DESC-ACCEPTABLE TO SUPPORT OPPOSITION LIKE THAT .
20427,"that attempt did not succeed , but it does represent a precedent for that kind of gathering .","THAT ATTEMPT DO DESC-NOT SUCCEED , BUT X-IT DO REPRESENT PRECEDENT FOR THAT KIND GARING ."
20428,the european policy that we want must clearly contribute to greater freedom and openness .,EUROPEAN POLICY THAT X-WE WANT MUST DESC-CLEARLY CONTRIBUTE TO DESC-GREATER FREEDOM AND OPENNESS .
20429,the points that we think are important are also mentioned in the resolution that is currently on the table .,POINT THAT X-WE THINK BE DESC-IMPORTANT BE DESC-ALSO MENTION IN RESOLUTION THAT BE DESC-CURRENTLY ON TABLE .
20430,there are a couple more points I would like to add .,DESC-RE BE COUPLE MORE POINT X-I WOULD LIKE TO ADD .
20431,more must be done from the country itself and in the country itself .,MORE MUST BE DO FROM COUNTRY X-ITSELF AND IN COUNTRY X-ITSELF .
20432,my final comment is on a somewhat more personal note .,X-MY DESC-FINAL COMMENT BE ON DESC-SOMEWHAT MORE DESC-PERSONAL NOTE .
20433,"it turns out , however , that this has not happened .","X-IT TURN OUT , DESC-HOWEVER , THAT THIS HAVE DESC-NOT HAPPEN ."
20434,"furthermore , president lukashenko decided to leave minsk and so mrs ferrero waldner's visit could not go ahead .","DESC-FURRMORE , PRESIDENT LUKASHENKO DECIDE TO LEAVE MINSK AND DESC-SO MR FERRERO WALDNER X-POSS VISIT COULD DESC-NOT GO DESC-AHEAD ."
20435,"i think that in this connection we should , however , maintain some kind of dialogue .","X-I THINK THAT IN THIS CONNECTION X-WE SHOULD , DESC-HOWEVER , MAINTAIN SOME KIND DIALOGUE ."
20436,"i agree with what mr tannock said , that president lukashenko should not be present in prague .","X-I AGREE WITH WHAT MR TANNOCK SAY , THAT PRESIDENT LUKASHENKO SHOULD DESC-NOT BE DESC-PRESENT IN PRAGUE ."
20437,we must also be very careful .,X-WE MUST DESC-ALSO BE DESC-VERY DESC-CAREFUL .
20438,the first months have given us only a vague picture of the intentions of the authorities in minsk .,DESC-FIRST MONTH HAVE GIVE X-WE DESC-ONLY DESC-VAGUE PICTURE INTENTION AUTHORITY IN MINSK .
20439,"the eastern partnership means the chance for cheaper visas , better economic cooperation and financial support for civil society .","DESC-EASTERN PARTNERSHIP MEAN CHANCE FOR DESC-CHEAPER VISA , DESC-BETTER DESC-ECONOMIC COOPERATION AND DESC-FINANCIAL SUPPORT FOR DESC-CIVIL SOCIETY ."
20440,"these are ways in which belarus can profit from the new policy , after many years of isolation .","SE BE WAY IN WHICH BELARUS CAN PROFIT FROM DESC-NEW POLICY , AFTER DESC-MANY YEAR ISOLATION ."
20441,participation in the european union's partnership programme offers such opportunities .,PARTICIPATION IN EUROPEAN UNION X-POSS PARTNERSHIP PROGRAM OFFER DESC-SUCH OPPORTUNITY .
20442,i am convinced that the people of belarus increasingly want this .,X-I BE CONVINCE THAT PEOPLE BELARUS DESC-INCREASINGLY WANT THIS .
20443,"the policy of isolation with regard to belarus was unjustified , and this must be said loud and clear .","POLICY ISOLATION WITH REGARD TO BELARUS BE DESC-UNJUSTIFIED , AND THIS MUST BE SAY DESC-LOUD AND DESC-CLEAR ."
20444,in seven years time belarus is planning to build a nuclear power plant quite close to the lithuanian border .,IN SEVEN YEAR TIME BELARUS BE PLAN TO BUILD DESC-NUCLEAR POWER PLANT DESC-QUITE DESC-CLOSE TO LITHUANIAN BORDER .
20445,next is thecatch the eyeperiod .,NEXT BE CATCH EYEPERIOD .
20446,i will give the floor to just three members .,X-I WILL GIVE FLOOR TO DESC-JUST THREE MEMBER .
20447,that is not in accordance with our rules of procedure .,THAT BE DESC-NOT IN ACCORDANCE WITH X-WE RULE PROCEDURE .
20448,"mr beazley , the point of order has been clarified .","MR BEAZLEY , POINT ORDER HAVE BE CLARIFY ."
20449,there is no point in insisting as I will not give you the floor .,DESC-RE BE NO POINT IN INSIST AS X-I WILL DESC-NOT GIVE X-YOU FLOOR .
20450,i will not give you the floor .,X-I WILL DESC-NOT GIVE X-YOU FLOOR .
20451,the point of order has been clarified .,POINT ORDER HAVE BE CLARIFY .
20452,lt today the people of belarus are marking independence day .,LT TODAY PEOPLE BELARUS BE MARK INDEPENDENCE DAY .
20453,i would like to remind you that belarus declared itself a republic on 25 march 19five thousand people have gathered in the square .,X-I WOULD LIKE TO REMIND X-YOU THAT BELARUS DECLARE X-ITSELF REPUBLIC ON 25 MARCH DESC-19FIVE THOUSAND PEOPLE HAVE GAR IN SQUARE .
20454,i hope that repressive measures will not be used against them .,X-I HOPE THAT DESC-REPRESSIVE MEASURE WILL DESC-NOT BE USE AGAINST X-Y .
20455,"as for dialogue with belarus , this is necessary , but not at any price .","AS FOR DIALOGUE WITH BELARUS , THIS BE DESC-NECESSARY , BUT DESC-NOT AT ANY PRICE ."
20456,"the schengen visa , which costs eur 60 , is too expensive a treat for many belarusians .","SCHENGEN VISA , WHICH COST EUR 60 , BE DESC-TOO DESC-EXPENSIVE TREAT FOR DESC-MANY BELARUSIAN ."
20457,i would like to remind you that for russian citizens the schengen visa is half this price .,X-I WOULD LIKE TO REMIND X-YOU THAT FOR RUSSIAN CITIZEN SCHENGEN VISA BE HALF THIS PRICE .
20458,i repeat intervene when citizensrights are violated .,X-I REPEAT INTERVENE WHEN CITIZENSRIGHT BE VIOLATE .
20459,hu european policy on the belarus issue was unambiguous .,HU EUROPEAN POLICY ON BELARUS ISSUE BE DESC-UNAMBIGUOUS .
20460,human rights and the process of democratisation were the most important .,DESC-HUMAN RIGHTS AND PROCESS DEMOCRATISATION BE MOST DESC-IMPORTANT .
20461,"other things have changed , not the regime .","DESC-OR THING HAVE CHANGE , DESC-NOT REGIME ."
20462,many in the eu believe that the success of the eastern partnership depends on belarus as well .,DESC-MANY IN EU BELIEVE THAT SUCCESS DESC-EASTERN PARTNERSHIP DEPEND ON BELARUS AS DESC-WELL .
20463,the eu institutions have succeeded in killing off their own set of conditions .,EU INSTITUTION HAVE SUCCEED IN KILL OFF X-Y DESC-OWN SET CONDITION .
20464,the commission's work over many years has been torn down by a single visit by javier solana .,COMMISSION X-POSS WORK OVER DESC-MANY YEAR HAVE BE TEAR DESC-DOWN BY DESC-SINGLE VISIT BY JAVIER SOLANA .
20465,president lukashenko thought he was strong enough to cancel the visit of mrs ferrero waldner .,PRESIDENT LUKASHENKO THINK X-HE BE DESC-STRONG DESC-ENOUGH TO CANCEL VISIT MR FERRERO WALDNER .
20466,"instead of accepting the conditions , minsk has found a partner in the compromise loving javier solana .","DESC-INSTEAD ACCEPT CONDITION , MINSK HAVE FIND PARTNER IN COMPROMISE DESC-LOVING JAVIER SOLANA ."
20467,dialogue must strengthen the democratic forces .,DIALOGUE MUST STRENGN DESC-DEMOCRATIC FORCE .
20468,only then does it make sense .,DESC-ONLY DESC-N DO X-IT MAKE SENSE .
20469,it should not stab the democratic forces in the back .,X-IT SHOULD DESC-NOT STAB DESC-DEMOCRATIC FORCE IN DESC-BACK .
20470,i too believe that a partnership is premature .,X-I DESC-TOO BELIEVE THAT PARTNERSHIP BE DESC-PREMATURE .
20471,"that notwithstanding , visa costs should be reduced .","THAT NOTWITHSTANDING , VISA COST SHOULD BE REDUCE ."
20472,"is it right to let a dictator take his place at the top , however ?","BE X-IT DESC-RIGHT TO LET DICTATOR TAKE X-HE PLACE AT TOP , DESC-HOWEVER ?"
20473,is it not an affront to those who have been imprisoned again recently and who are still being imprisoned ?,BE X-IT DESC-NOT AFFRONT TO THOSE WHO HAVE BE IMPRISON DESC-AGAIN DESC-RECENTLY AND WHO BE DESC-STILL BE IMPRISON ?
20474,this has nothing to do with what was said earlier .,THIS HAVE NOTHING TO DO WITH WHAT BE SAY DESC-EARLIER .
20475,it is simply a case of the balanced management that I always practise during thiscatch the eyeperiod .,X-IT BE DESC-SIMPLY CASE DESC-BALANCED MANAGEMENT THAT X-I DESC-ALWAYS PRACTICE DURING THISCATCH EYEPERIOD .
20476,let us try and come to a change of course on this as soon as possible .,LET X-WE TRY AND COME TO CHANGE COURSE ON THIS AS DESC-SOON AS DESC-POSSIBLE .
