id,text,gloss_input,gloss_output_1,gloss_output_2
31407,"these demand our engagement , condemnation and action .","SE DEMAND X-WE ENGAGEMENT , CONDEMNATION AND ACTION .",DEMAND ENGAGEMENT CONDEMNATION ACTION.,"SE DEMAND WE ENGAGEMENT , CONDEMNATION AND ACTION ."
31593,this same sector considers that the government is showing an intolerant attitude towards criticism .,THIS DESC-SAME SECTOR CONSIDER THAT GOVERNMENT BE SHOW DESC-INTOLERANT ATTITUDE TOWARDS CRITICISM .,THIS SAME SECTOR CONSIDER GOVERNMENT SHOW INTOLERANT ATTITUDE CRITICISM,THIS SAME SECTOR CONSIDER THAT GOVERNMENT SHOW INTOLERANT ATTITUDE TOWARDS CRITICISM .
32109,the result is that there is no single approach .,RESULT BE THAT DESC-RE BE NO DESC-SINGLE APPROACH .,RESULT THAT RE NO SINGLE APPROACH.,RESULT THAT RE NO SINGLE APPROACH .
32120,we believe this to be very much rooted in the past and it must stop .,X-WE BELIEVE THIS TO BE DESC-VERY DESC-MUCH ROOT IN PAST AND X-IT MUST STOP .,BELIEVE THIS ROOT PAST MUST STOP.,"PAST, THIS VERY MUCH ROOT AND MUST STOP ."
32347,i hope that we will cooperate closely and I hope to see you again in the autumn .,X-I HOPE THAT X-WE WILL COOPERATE DESC-CLOSELY AND X-I HOPE TO SEE X-YOU DESC-AGAIN IN AUTUMN .,HOPE COOPERATE CLOSELY AND HOPE AUTUMN SEE AGAIN,HOPE THAT WE COOPERATE CLOSELY AND HOPE SEE YOU AGAIN AUTUMN .
32515,yet china is a huge country with considerable internal challenges and differences between its regions .,DESC-YET CHINA BE DESC-HUGE COUNTRY WITH DESC-CONSIDERABLE DESC-INTERNAL CHALLENGE AND DIFFERENCE BETWEEN X-ITS REGION .,YET CHINA HUGE COUNTRY CONSIDERABLE INTERNAL CHALLENGE AND DIFFERENCE BETWEEN REGION,YET CHINA HUGE COUNTRY CONSIDERABLE INTERNAL CHALLENGE AND DIFFERENCE BETWEEN ITS REGION .
32975,that is not a question for mrs lope fontagné .,THAT BE DESC-NOT QUESTION FOR MR LOPE FONTAGN? .,"MRS LOPE FONTAGNE, THAT NOT QUESTION",THAT NOT QUESTION MR LOPE FONTAGNE.
34460,"as you can see , I cannot be as pessimistic as some of those who have spoken here today .","AS X-YOU CAN SEE , X-I CAN DESC-NOT BE AS DESC-PESSIMISTIC AS SOME THOSE WHO HAVE SPEAK DESC-HERE TODAY .",TODAY AS YOU CAN SEE CAN NOT PESSIMISTIC AS SOME THOSE WHO SPEAK HERE,"TODAY , AS CAN SEE , CAN NOT AS PESSIMISTIC AS SOME THOSE WHO SPEAK HERE ."
34544,member of the commission . I understand very well the strength of feeling .,X-I UNDERSTAND DESC-VERY DESC-WELL STRENGTH FEELING .,COMMISSION MEMBER . UNDERSTAND VERY WELL STRENGTH FEELING,UNDERSTAND VERY WELL STRENGTH FEELING.
34693,they should do anything that can be seen if they want people to believe in them .,X-Y SHOULD DO ANYTHING THAT CAN BE SEE IF X-Y WANT PEOPLE TO BELIEVE IN X-Y .,SHOULD DO ANYTHING THAT CAN SEEN IF WANT PEOPLE BELIEVE THEM,Y SHOULD ANYTHING THAT CAN SEE IF Y WANT PEOPLE BELIEVE Y.
34740,we also need to do something about trade .,X-WE DESC-ALSO NEED TO DO SOMETHING ABOUT TRADE .,NEED ALSO DO SOMETHING TRADE.,NEED SOMETHING TRADE .
34763,my third question is the g20 is also part of the preparations for copenhagen .,X-MY DESC-THIRD QUESTION BE G20 BE DESC-ALSO PART PREPARATION FOR COPENHAGEN .,THIRD QUESTION G20 ALSO PART PREPARATION COPENHAGEN,THIRD QUESTION G20 ALSO PART PREPARATION COPENHAGEN .
34995,"some members , mrs krehl and mr itälä , have raised the matter of resources .",", HAVE RAISE MATTER RESOURCE . ?",SOME MEMBER MRS KREHL AND MR ITÄLÄ HAVE RAISE MATTER RESOURCE,"SOME MEMBER , MRS_KREHL AND MR_ITALA , RAISE MATTER RESOURCE ."
35015,"however , it is to be agreed in the future work related to the implementation of the strategy .","DESC-HOWEVER , X-IT BE TO BE AGREE IN FUTURE WORK RELATE TO IMPLEMENTATION STRATEGY .","FUTURE WORK RELATED IMPLEMENTATION STRATEGY, HOWEVER BE TO AGREED","HOWEVER , AGREE FUTURE WORK RELATE IMPLEMENTATION STRATEGY ."
35115,our political environment cannot be one where people close their eyes to the facts .,X-WE DESC-POLITICAL ENVIRONMENT CAN DESC-NOT BE ONE WHERE PEOPLE DESC-CLOSE X-Y EYE TO FACT .,POLITICAL ENVIRONMENT CAN NOT BE ONE WHERE PEOPLE CLOSE EYE TO FACT,WE POLITICAL ENVIRONMENT CAN NOT ONE WHERE PEOPLE CLOSE Y EYE FACT.
35405,"their journey has not been easy , but the efforts which have been made must be fully recognised .","X-Y JOURNEY HAVE DESC-NOT BE DESC-EASY , BUT EFFORT WHICH HAVE BE MAKE MUST BE DESC-FULLY RECOGNIZE .",JOURNEY HAVE NOT EASY BUT EFFORT WHICH MADE MUST RECOGNIZE FULLY.,"Y JOURNEY NOT EASY , BUT EFFORT WHICH MAKE MUST FULLY RECOGNISE ."
36072,"mr president , the open market is a joint european achievement .","MR PRESIDENT , DESC-OPEN MARKET BE DESC-JOINT EUROPEAN ACHIEVEMENT .","MR PRESIDENT , OPEN MARKET JOINT EUROPEAN ACHIEVEMENT.","MR PRESIDENT , OPEN MARKET JOINT EUROPEAN ACHIEVEMENT ."
36445,are we seriously suggesting the kazakh government threw a civilian under the car wheels of a human rights activist ?,BE X-WE DESC-SERIOUSLY SUGGEST KAZAKH GOVERNMENT THROW DESC-CIVILIAN UNDER CAR WHEEL DESC-HUMAN RIGHTS ACTIVIST ?,SERIOUS KAZAKH GOVERNMENT THROW CIVILIAN UNDER CAR WHEEL HUMAN RIGHTS ACTIVIST SUGGEST ?,SERIOUSLY SUGGEST WE KAZAKH GOVERNMENT THROW CIVILIAN UNDER CAR WHEEL HUMAN RIGHT ACTIVIST ?
36458,we have therefore signed the resolution .,X-WE HAVE DESC-REFORE SIGN RESOLUTION .,THEREFORE HAVE SIGN RESOLUTION.,THEREFORE WE SIGN RESOLUTION.
36487,mr al hassani must be released .,MR AL HASSANUS MUST BE RELEASE .,MUST MR AL HASSANI RELEASE,MR AL HASSANUS MUST RELEASE .
37955,the draft proposals submitted for debate today are a variation of an evaluation mechanism .,DRAFT PROPOSAL SUBMIT FOR DEBATE TODAY BE VARIATION EVALUATION MECHANISM .,TODAY DRAFT PROPOSAL SUBMIT DEBATE VARIATION EVALUATION MECHANISM,TODAY DRAFT PROPOSAL SUBMIT DEBATE VARIATION EVALUATION MECHANISM .
38452,these are the realistic ways of tackling climate change .,SE BE DESC-REALISTIC WAY TACKLE CLIMATE CHANGE .,SE REALISTIC WAY TACKLE CLIMATE CHANGE.,THIS REALISTIC WAY TACKLE CLIMATE CHANGE .
38494,have you ever played russian roulette ?,HAVE X-YOU DESC-EVER PLAY RUSSIAN ROULETTE ?,EVER PLAY RUSSIAN ROULETTE HOW?,EVER PLAY RUSSIAN ROULETTE?
39143,we have also increased the allocation for the programme of research for small and medium sized businesses .,X-WE HAVE DESC-ALSO INCREASE ALLOCATION FOR PROGRAM RESEARCH FOR DESC-SMALL AND MEDIUM SIZE BUSINESS .,ALSO INCREASE ALLOCATION PROGRAM RESEARCH SMALL AND MEDIUM SIZE BUSINESS.,WE ALSO INCREASE ALLOCATION PROGRAM RESEARCH SMALL AND MEDIUM SIZED BUSINESS .
40332,constitutional courts are now debating this issue as well and want to make a decision .,DESC-CONSTITUTIONAL COURT BE DESC-NOW DEBATE THIS ISSUE AS DESC-WELL AND WANT TO MAKE DECISION .,NOW CONSTITUTIONAL COURT DEBATE THIS ISSUE WELL AND WANT MAKE DECISION,NOW CONSTITUTIONAL COURT DEBATE THIS ISSUE AS WELL AND WANT MAKE DECISION .
40883,"there is no one truth , there are several truths and they often contradict each other .","DESC-RE BE NO ONE TRUTH , DESC-RE BE DESC-SEVERAL TRUTH AND X-Y DESC-OFTEN CONTRADICT EACH DESC-OR .","RE NO ONE TRUTH , RE SEVERAL TRUTH CONTRADICT EACH OTHER .","BE NO ONE TRUTH , BE SEVERAL TRUTH AND Y OFTEN CONTRADICT EACH OR ."
41271,formal sitting 20th anniversary of the democratic change in central and eastern europe,DESC-FORMAL SIT DESC-20TH ANNIVERSARY DESC-DEMOCRATIC CHANGE IN DESC-CENTRAL AND DESC-EASTERN EUROPE,TWENTIETH ANNIVERSARY FORMAL SIT DEMOCRATIC CHANGE CENTRAL EASTERN EUROPE,FORMAL SIT 20TH ANNIVERSARY DEMOCRATIC CHANGE CENTRAL AND EASTERN EUROPE
41373,it is up to us to change this trend .,X-IT BE DESC-UP TO X-WE TO CHANGE THIS TREND .,"THIS TREND, CHANGE UP US.",WE CHANGE THIS TREND .
42513,maybe it sounds like I am taking the high moral ground I am not .,DESC-MAYBE X-IT SOUND LIKE X-I BE TAKE DESC-HIGH DESC-MORAL GROUND X-I BE DESC-NOT .,MAYBE SOUND LIKE TAKE HIGH MORAL GROUND NOT.,MAYBE IT SOUND LIKE TAKE HIGH MORAL GROUND NOT.
42530,"hu I , too , would like to thank the european ombudsman for his work .","HU X-I , DESC-TOO , WOULD LIKE TO THANK EUROPEAN OMBUDSMAN FOR X-HE WORK .",HU TOO WOULD LIKE THANK EUROPEAN OMBUDSMAN FOR HIS WORK,"HU , TOO , WOULD LIKE THANK EUROPEAN OMBUDSMAN HE WORK ."
44144,allow me to comment on two areas .,ALLOW X-I TO COMMENT ON TWO AREA .,TWO AREA COMMENT ALLOW,ALLOW COMMENT ON TWO AREA .
44339,i therefore ask the house to support the motion .,X-I DESC-REFORE ASK HOUSE TO SUPPORT MOTION .,THEREFORE ASK HOUSE SUPPORT MOTION.,THEREFORE ASK HOUSE SUPPORT MOTION.
44613,there is also the matter of human rights .,DESC-RE BE DESC-ALSO MATTER DESC-HUMAN RIGHTS .,ALSO MATTER HUMAN RIGHT,"ALSO, MATTER HUMAN RIGHT ."
44623,could the commission answer how many free trade agreements we are negotiating or have negotiated up to now ?,COULD COMMISSION ANSWER HOW DESC-MANY DESC-FREE TRADE AGREEMENT X-WE BE NEGOTIATE OR HAVE NEGOTIATE DESC-UP TO DESC-NOW ?,NOW COMMISSION COULD ANSWER HOW MANY FREE TRADE AGREEMENT NEGOTIATE OR NEGOTIATE UP TO,NOW COMMISSION ANSWER HOW MANY FREE TRADE AGREEMENT WE NEGOTIATE OR NEGOTIATE COULD ?
45111,"let us move forward and , again , make a firm financial commitment to developing countries .","LET X-WE MOVE DESC-FORWARD AND , DESC-AGAIN , MAKE FIRM DESC-FINANCIAL COMMITMENT TO DEVELOP COUNTRY .",LET MOVE FORWARD AND AGAIN MAKE FIRM FINANCIAL COMMITMENT DEVELOPING COUNTRY,"LET WE MOVE FORWARD AND , AGAIN , MAKE FIRM FINANCIAL COMMITMENT DEVELOP COUNTRY ."
46595,"another positive aspect is agriculture , which used to be a real source of concern .","ANOR DESC-POSITIVE ASPECT BE AGRICULTURE , WHICH USE TO BE DESC-REAL SOURCE CONCERN .",ANOTHER POSITIVE ASPECT AGRICULTURE WHICH USE TO REAL SOURCE CONCERN,"AGRICULTURE , WHICH USE REAL SOURCE CONCERN , ANOR POSITIVE ASPECT ."
47081,thirty six pirate vessels have been intercepted and 14 direct attacks have been avoided .,THIRTY SIX PIRATE VESSEL HAVE BE INTERCEPT AND 14 DESC-DIRECT ATTACK HAVE BE AVOID .,THIRTY SIX PIRATE VESSEL INTERCEPT FINISH AND 14 DIRECT ATTACK AVOID FINISH.,THIRTY SIX PIRATE VESSEL INTERCEPT AND 14 DIRECT ATTACK AVOID .
47429,"mr president , if you would allow me , I shall just go through some of the different sectors .","MR PRESIDENT , IF X-YOU WOULD ALLOW X-I , X-I SHALL DESC-JUST GO THROUGH SOME DESC-DIFFERENT SECTOR .","MR PRESIDENT , IF YOU ALLOW ME , I GO THROUGH SOME DIFFERENT SECTOR","MR PRESIDENT , IF WOULD ALLOW , SHALL JUST GO THROUGH SOME DIFFERENT SECTOR ."
47476,these should be the subjects of our debates if we are finally to end the agricultural crisis .,SE SHOULD BE SUBJECT X-WE DEBATE IF X-WE BE DESC-FINALLY TO END DESC-AGRICULTURAL CRISIS .,"IF FINALLY END AGRICULTURAL CRISIS, THESE SUBJECT DEBATE.",SE SHOULD SUBJECT WE DEBATE IF WE FINALLY END AGRICULTURAL CRISIS.
47605,we call for a new start to the process .,X-WE CALL FOR DESC-NEW START TO PROCESS .,NEW START PROCESS CALL.,WE CALL NEW START PROCESS .
47848,the economic crisis has become an acutely felt social crisis for which we have not yet found a solution .,DESC-ECONOMIC CRISIS HAVE BECOME DESC-ACUTELY FEEL DESC-SOCIAL CRISIS FOR WHICH X-WE HAVE DESC-NOT DESC-YET FIND SOLUTION .,ECONOMIC CRISIS BECOME ACUTELY FEEL SOCIAL CRISIS FOR WHICH NOT YET FIND SOLUTION,ECONOMIC CRISIS BECOME ACUTELY FEEL SOCIAL CRISIS WHICH WE NOT YET FIND SOLUTION .
48549,conditions for an effective eu us partnership on the middle east have rarely been as good .,CONDITION FOR DESC-EFFECTIVE EU X-WE PARTNERSHIP ON MIDDLE DESC-EAST HAVE DESC-RARELY BE AS DESC-GOOD .,CONDITION EFFECTIVE EU WE PARTNERSHIP MIDDLE EAST GOOD RARELY AS,RARELY CONDITION EFFECTIVE EU WE PARTNERSHIP ON MIDDLE EAST AS GOOD .
48973,we are not sparing any effort to support georgia .,X-WE BE DESC-NOT DESC-SPARE ANY EFFORT TO SUPPORT GEORGIUM .,NOT SPARE ANY EFFORT SUPPORT GEORGIA.,WE NOT SPARE ANY EFFORT SUPPORT GEORGIA .
49038,"mr president , yesterday in ireland , a conference addressed the topic of aid and eastern europe .","MR PRESIDENT , YESTERDAY IN IRELAND , CONFERENCE ADDRESS TOPIC AID AND DESC-EASTERN EUROPE .",YESTERDAY MR PRESIDENT IRELAND CONFERENCE ADDRESS TOPIC AID AND EASTERN EUROPE,"MR PRESIDENT , YESTERDAY IRELAND , CONFERENCE ADDRESS TOPIC AID AND EASTERN EUROPE ."
49644,we must therefore balance the need for joint action with respect for the rights of our member states .,X-WE MUST DESC-REFORE BALANCE NEED FOR DESC-JOINT ACTION WITH RESPECT FOR RIGHTS X-WE MEMBER STATE .,THEREFORE MUST BALANCE NEED JOINT ACTION WITH RESPECT RIGHTS MEMBER STATE,THEREFORE WE MUST BALANCE NEED JOINT ACTION WITH RESPECT RIGHT WE MEMBER STATE .
49764,the financial crisis has revealed the weak points in our financial supervision system .,DESC-FINANCIAL CRISIS HAVE REVEAL DESC-WEAK POINT IN X-WE DESC-FINANCIAL SUPERVISION SYSTEM .,FINANCIAL CRISIS REVEAL WEAK POINT FINANCIAL SUPERVISION SYSTEM,FINANCIAL CRISIS REVEAL WEAK POINT WE FINANCIAL SUPERVISION SYSTEM.
49826,"if there should be a no vote , the money would not be handed back to the taxpayer .","IF DESC-RE SHOULD BE NO VOTE , MONEY WOULD DESC-NOT BE HAND DESC-BACK TO TAXPAYER .",IF NO VOTE SHOULD BE MONEY HAND BACK TAXPAYER NOT FINISH,"IF NO VOTE , MONEY NOT HAND BACK TAXPAYER ."
49852,wto members must remain committed to actively fighting protectionism .,WTO MEMBER MUST REMAIN DESC-COMMITTED TO DESC-ACTIVELY FIGHT PROTECTIONISM .,WTO MEMBER MUST REMAIN COMMITTED ACTIVELY FIGHT PROTECTIONISM,WTO MEMBER MUST REMAIN COMMITTED ACTIVELY FIGHT PROTECTIONISM .
50048,"however , the question is not when , but how , we pull out of afghanistan .","DESC-HOWEVER , QUESTION BE DESC-NOT WHEN , BUT HOW , X-WE PULL OUT AFGHANISTAN .",HOWEVER QUESTION NOT WHEN BUT HOW AFGHANISTAN PULL OUT,"HOWEVER , QUESTION NOT WHEN , BUT HOW , AFGHANISTAN PULL OUT ?"
50461,subject negotiations for turkey to take part in joint frontex operations,SUBJECT NEGOTIATION FOR TURKEY TO TAKE PART IN DESC-JOINT FRONTEX OPERATION,"TURKEY, JOINT FRONTEX OPERATION TAKE PART NEGOTIATION SUBJECT",SUBJECT NEGOTIATION TURKEY TAKE PART JOINT FRONTEX OPERATION
51885,neither were there any weapons of mass destruction nor any connection between saddam hussein and al qaeda .,NEIR BE DESC-RE ANY WEAPON MASS DESTRUCTION NOR ANY CONNECTION BETWEEN SADDAM HUSSEIN AND AL QAEDA .,NEITHER ANY WEAPON MASS DESTRUCTION NOR ANY CONNECTION BETWEEN SADDAM HUSSEIN AND AL QAEDA,NEIR RE ANY WEAPON MASS DESTRUCTION NOR ANY CONNECTION BETWEEN SADDAM HUSSEIN AND AL QAEDA .
52325,the matter of neighbourhood relations must be a priority .,MATTER NEIGHBORHOOD RELATION MUST BE PRIORITY .,MUST MATTER NEIGHBORHOOD RELATION PRIORITY,MATTER NEIGHBOURHOOD RELATION MUST PRIORITY .
52379,what europe needs is to adopt some aspects of the spanish model .,WHAT EUROPE NEED BE TO ADOPT SOME ASPECT SPANISH MODEL .,WHAT EUROPE NEED ADOPT SOME ASPECT SPANISH MODEL,WHAT EUROPE NEED ADOPT SOME ASPECT SPANISH MODEL .
52610,"es hello , mr rodríguez zapatero .",GUEZ ZAPATERO . MR RODR ?,MR_RODRIGUEZ_ZAPATERO GUEZ,"MR RODRIGUEZ ZAPATERO , GUEZ ?"
55017,other very important challenges need to be tackled during this mandate .,DESC-OR DESC-VERY DESC-IMPORTANT CHALLENGE NEED TO BE TACKLE DURING THIS MANDATE .,"THIS MANDATE, OR VERY IMPORTANT CHALLENGE NEED TACKLE","THIS MANDATE, OR VERY IMPORTANT CHALLENGE NEED TACKLE DURING."
55332,that is exactly what we expect from the new commission .,THAT BE DESC-EXACTLY WHAT X-WE EXPECT FROM DESC-NEW COMMISSION .,"NEW COMMISSION, EXACTLY WHAT EXPECT","NEW COMMISSION, THAT EXACTLY WHAT WE EXPECT."
55363,that is what the 500 million europeans who are watching us are expecting right now .,THAT BE WHAT 500 MILLION EUROPEAN WHO BE WATCH X-WE BE EXPECT DESC-RIGHT DESC-NOW .,NOW WHAT 500 MILLION EUROPEAN WATCH WE EXPECT,NOW THAT WHAT 500 MILLION EUROPEAN WHO WATCH WE EXPECT .
55422,more and more issues are transversal or horizontal by nature .,MORE AND MORE ISSUE BE TRANSVERSAL OR DESC-HORIZONTAL BY NATURE .,NATURE TRANSVERSAL OR HORIZONTAL MORE AND MORE ISSUE,MORE AND MORE ISSUE TRANSVERSAL OR HORIZONTAL BY NATURE.
55491,the commission does not want their support .,COMMISSION DO DESC-NOT WANT X-Y SUPPORT .,COMMISSION WANT SUPPORT NOT,COMMISSION NOT WANT Y SUPPORT .
56185,the instrument works .,INSTRUMENT WORK .,INSTRUMENT WORK.,INSTRUMENT WORK .
57016,let us look at our own behaviour here in this european parliament .,LET X-WE LOOK AT X-WE DESC-OWN BEHAVIOR DESC-HERE IN THIS EUROPEAN PARLIAMENT .,"HERE THIS EUROPEAN PARLIAMENT, BEHAVIOR LOOK","HERE THIS EUROPEAN PARLIAMENT, LET WE LOOK AT WE OWN BEHAVIOUR."
57453,then it is easier to live and establish good relations with one's neighbours .,DESC-N X-IT BE DESC-EASIER TO DESC-LIVE AND ESTABLISH DESC-GOOD RELATION WITH ONE X-POSS NEIGHBOR .,EASIER LIVE AND ESTABLISH GOOD RELATION NEIGHBOR,N IT EASIER LIVE AND ESTABLISH GOOD RELATION ONE NEIGHBOURS.
58909,the burmese regime is a problem we have struggled with for years .,BURMESE REGIME BE PROBLEM X-WE HAVE STRUGGLE WITH FOR YEAR .,HAVE PROBLEM BURMESE REGIME STRUGGLE YEAR,YEAR BURMESE REGIME PROBLEM WE STRUGGLE .
59208,"so , can we please not talk as if , somehow , growth is going to deliver jobs ?","DESC-SO , CAN X-WE PLEASE DESC-NOT TALK AS IF , DESC-SOMEHOW , GROWTH BE GO TO DELIVER JOB ?",SO CAN PLEASE NOT TALK AS IF SOMEHOW GROWTH GO DELIVER JOB?,"SO , CAN WE PLEASE NOT TALK AS IF , SOMEHOW , GROWTH GO DELIVER JOB ?"
59460,it represents the highest aspirations for all of us on this planet and deserves all of our support .,X-IT REPRESENT DESC-HIGHEST ASPIRATION FOR ALL X-WE ON THIS PLANET AND DESERVE ALL X-WE SUPPORT .,REPRESENT HIGHEST ASPIRATION ALL US ON THIS PLANET AND DESERVE ALL SUPPORT.,"THIS PLANET, ALL WE ON, HIGHEST ASPIRATION REPRESENT AND ALL WE SUPPORT DESERVE."
59501,we must assume our responsibilities to the peoples of europe and the peoples of the whole world .,X-WE MUST ASSUME X-WE RESPONSIBILITY TO PEOPLE EUROPE AND PEOPLE WHOLE WORLD .,MUST ASSUME RESPONSIBILITY PEOPLE EUROPE AND PEOPLE WHOLE WORLD,WE MUST ASSUME OUR RESPONSIBILITY PEOPLE EUROPE AND PEOPLE WHOLE WORLD.
60173,most fish stocks are collapsing .,MOST FISH STOCK BE COLLAPSE .,MOST FISH STOCK COLLAPSE.,MOST FISH STOCK COLLAPSE.
60248,"fourthly , recognising past efforts most important .","DESC-FOURTHLY , RECOGNIZE PAST EFFORT MOST DESC-IMPORTANT .",FOURTHLY PAST EFFORT RECOGNIZE MOST IMPORTANT,"FOURTHLY , PAST EFFORT RECOGNIZE MOST IMPORTANT ."
60620,i could go on .,X-I COULD GO ON .,COULD GO ON.,COULD GO ON.
61379,i understand from sources in the field that financial administration is often a problem among micro entities .,X-I UNDERSTAND FROM SOURCE IN FIELD THAT DESC-FINANCIAL ADMINISTRATION BE DESC-OFTEN PROBLEM AMONG MICRO ENTITY .,SOURCE FIELD UNDERSTAND FINANCIAL ADMINISTRATION OFTEN PROBLEM AMONG MICRO ENTITY,UNDERSTAND SOURCE FIELD THAT FINANCIAL ADMINISTRATION OFTEN PROBLEM AMONG MICRO ENTITY.
62327,"if you could work with parliament , then I will work with the commission .","IF X-YOU COULD WORK WITH PARLIAMENT , DESC-N X-I WILL WORK WITH COMMISSION .",IF COULD WORK PARLIAMENT THEN I CAN WORK COMMISSION.,"IF COULD WORK PARLIAMENT , THEN WILL WORK COMMISSION ."
63732,the situation is a sensitive one and the conflict between the parties has become polarised .,SITUATION BE DESC-SENSITIVE ONE AND CONFLICT BETWEEN PARTY HAVE BECOME POLARISE .,SITUATION SENSITIVE AND CONFLICT BETWEEN PARTY POLARIZED BECOME FINISH,SITUATION SENSITIVE ONE AND CONFLICT BETWEEN PARTIES BECOME POLARISED.
64075,it is estimated that there are around 200 other political prisoners in cuba .,X-IT BE ESTIMATE THAT DESC-RE BE AROUND 200 DESC-OR DESC-POLITICAL PRISONER IN CUBA .,"ESTIMATE CUBA, POLITICAL PRISONER AROUND 200 OTHER",IT ESTIMATE THAT BE AROUND 200 OR POLITICAL PRISONER CUBA.
64719,gilad and his family need our help .,GILAD AND X-HE FAMILY NEED X-WE HELP .,GILAD AND FAMILY NEED HELP,GILAD AND HE FAMILY NEED WE HELP.
65468,"tibetans are forbidden from doing anything to rescue their own culture , identity and religion .","TIBETAN BE FORBID FROM DO ANYTHING TO RESCUE X-Y DESC-OWN CULTURE , IDENTITY AND RELIGION .",TIBETAN FORBID FROM DO ANYTHING RESCUE OWN CULTURE IDENTITY AND RELIGION,"TIBETAN FORBID ANYTHING RESCUE Y OWN CULTURE , IDENTITY AND RELIGION ."
65645,"here I am referring to heading 1a and heading in other words , the report on priorities is clearly upgrading heading what is important is implementation . that should be at cruising speed by 20therefore , I am looking forward now to starting the procedure for 20brussels , too , must watch how it spends every public euro .","THAT SHOULD BE AT CRUISE SPEED BY DESC-20REFORE , X-I BE LOOK DESC-FORWARD DESC-NOW TO START PROCEDURE FOR DESC-20BRUSSEL , DESC-TOO , MUST WATCH HOW X-IT SPEND EVERY PUBLIC EURO .",NOW THAT SHOULD AT CRUISE SPEED BY 20THEREFORE LOOK FORWARD TO START PROCEDURE FOR 20BRUSSELS TOO MUST WATCH HOW SPEND EVERY PUBLIC EURO,"NOW THAT SHOULD AT CRUISE SPEED BY 20REFORE , LOOK FORWARD START PROCEDURE 20BRUSSELS , TOO , MUST WATCH HOW IT SPEND EVERY PUBLIC EURO ."
66270,there is no coordinated fiscal policy so it is doomed to failure and it is failing as we speak .,DESC-RE BE NO COORDINATE DESC-FISCAL POLICY DESC-SO X-IT BE DOOM TO FAILURE AND X-IT BE FAIL AS X-WE SPEAK .,AS SPEAK FAILING AND DOOMED FAILURE SO RE NO COORDINATED FISCAL POLICY.,RE NO COORDINATED FISCAL POLICY SO IT DOOM FAILURE AND IT FAIL AS WE SPEAK.
66573,there should be a clear divide .,DESC-RE SHOULD BE DESC-CLEAR DIVIDE .,RE CLEAR DIVIDE.,NOW RE SHOULD CLEAR DIVIDE .
66575,"mr president , may I also thank mr scottà for the work in this important report .","MR PRESIDENT , MAY X-I DESC-ALSO THANK MR SCOTT? FOR WORK IN THIS DESC-IMPORTANT REPORT .","MR PRESIDENT , ALSO THANK MR SCOTTÀ WORK THIS IMPORTANT REPORT","MR PRESIDENT , MAY ALSO THANK MR SCOTTA WORK THIS IMPORTANT REPORT ."
66817,i voted for the report on the future of food quality policy .,X-I VOTE FOR REPORT ON FUTURE FOOD QUALITY POLICY .,VOTE REPORT FUTURE FOOD QUALITY POLICY.,VOTE REPORT ON FUTURE FOOD QUALITY POLICY .
67872,"so far , around 6 million works from our european cultural heritage have been digitised .","DESC-SO DESC-FAR , AROUND 6 MILLION WORK FROM X-WE EUROPEAN DESC-CULTURAL HERITAGE HAVE BE DIGITISE .",SO FAR AROUND 6 MILLION WORK FROM EUROPEAN CULTURAL HERITAGE DIGITIZE FINISH,"SO FAR , AROUND 6 MILLION WORK WE EUROPEAN CULTURAL HERITAGE DIGITISE ."
69196,"one of these concerns visa free travel , which you , baroness ashton , have already referred to .","ONE SE CONCERN VISA DESC-FREE TRAVEL , WHICH X-YOU , BARONESS ASHTON , HAVE DESC-ALREADY REFER TO .",WHICH BARONESS ASHTON REFER ONE CONCERN VISA FREE TRAVEL,"ONE SE CONCERN VISA FREE TRAVEL , BARONESS ASHTON , ALREADY REFER ."
69385,"nevertheless , question time is scheduled until 8.30 on our agenda .","DESC-NEVERLESS , QUESTION TIME BE SCHEDULE UNTIL 8.30 ON X-WE AGENDA .","NEVERTHELESS , AGENDA ON 8.30 UNTIL SCHEDULE QUESTION TIME","NEVERLESS , QUESTION TIME SCHEDULE UNTIL 8.30 ON WE AGENDA ."
69547,"that does not mean money leaving the region oh no , it means money being spent .","THAT DO DESC-NOT MEAN MONEY LEAVE REGION OH NO , X-IT MEAN MONEY BE SPEND .","REGION, MONEY LEAVE NOT MEAN OH NO , MONEY SPENT MEAN","THAT NOT MEAN MONEY LEAVE REGION OH NO , MONEY SPEND MEAN ."
69855,"mr president , another point concerns actual customs checks by member states .","MR PRESIDENT , ANOR POINT CONCERN DESC-ACTUAL CUSTOM CHECK BY MEMBER STATE .","MR PRESIDENT, ANOTHER POINT CONCERN ACTUAL CUSTOM CHECK MEMBER STATE","MR PRESIDENT , ANOR POINT CONCERN ACTUAL CUSTOM CHECK BY MEMBER STATE ."
70043,they have criticised the country's leadership and president .,X-Y HAVE CRITICISE COUNTRY X-POSS LEADERSHIP AND PRESIDENT .,THEY HAVE CRITICISE COUNTRY LEADERSHIP PRESIDENT.,Y CRITICISE COUNTRY LEADERSHIP AND PRESIDENT .
