id,text,health
8260,it cannot abandon minorities at this time of crisis .,NO
8261,"nearly a tenth of eu citizens currently belong to a national , linguistic or ethnic minority .",NO
8262,"some , like myself , as a swedish speaking finn , are treated well .",NO
8263,others are discriminated against or disavowed .,NO
8264,immigrants require special support to help them integrate into their new homelands .,NO
8265,"russia's involvement and propaganda in estonia and latvia , for example , is a cautionary example .",NO
8266,we must not put weapons in the hands of those who want to harm us .,NO
8267,it would also be important for this parliamentary committee to be given explicit responsibility for issues relating to minorities .,NO
8268,this parliament should approve a statement on the rights of minorities .,NO
8269,they share this view .,NO
8270,i believe that the roma need more support from the state .,NO
8271,"in particular , they need assistance with vocational training and with education in general .",NO
8272,member states should play the leading role regarding the integration of this and other minority groups .,NO
8273,"common union legislation would be very helpful to us in our endeavours , however .",NO
8274,"however , in many countries , this respect is weak or non existent .",NO
8275,this leads to discrimination in which minorities are abused and relegated to the poorest of circumstances .,NO
8276,this negates the purpose of the agreement .,NO
8277,hungary is indeed where ethnic minorities have been almost completely eliminated over the past decades .,NO
8278,"the words of the former ombudsman for minorities in hungary , jenö kaltenbacha , confirm this .",NO
8279,"in those schools , slovak is taught for four hours a week .",NO
8280,"in the hungarian minority schools , the language of instruction is exclusively hungarian .",NO
8281,slovak is taught as a supplementary language for a few hours each week .,NO
8282,"on the other hand , only hungarian priests officiate in hungarian communities in slovakia .",NO
8283,such attitudes need to be unmasked and vigorously condemned within the european parliament as well .,NO
8284,they live within european member states while never having moved from their ancestral lands .,NO
8285,this is why eu regulation is necessary and why the assistance of the eu is necessary .,NO
8286,"with the recent enlargement towards the east , the situation has , unavoidably , become far more complex .",NO
8287,it has its own characteristics and suffers the greatest disadvantages of all minority groups of any kind .,NO
8288,each social group is different .,NO
8289,"hu mr president , one out of every ten european citizens belongs to a national minority .",NO
8290,many of them feel that they are stepchildren within their own homeland .,NO
8291,they look to the european union to guarantee their rights and help improve their situation .,NO
8292,"ratification of the lisbon treaty could improve the situation , but in itself , it is no magic solution .",NO
8293,this would give a clear signal that the minorities are also full citizens of a unifying europe .,NO
8294,"europe cannot have stepchildren , since in one sense or another , all of us are minorities .",NO
8295,"in the countries of the former communist camp , the principle of non intervention was supreme .",NO
8296,"faced with poverty or danger , some people flee their country of origin to seek refuge .",NO
8297,the right to asylum is a way for people to vote with their feet .,NO
8298,"in this instance , the duty is to accept the rules , languages and customs of the receiving countries .",NO
8299,the right of asylum is a precious right as it is a right inherent to the human being .,NO
8300,"even if you belong to a minority , this does not legitimise the creation of a community right .",NO
8301,your ultimate allegiance must always be to the country in which you settle .,NO
8302,"over time , this will only create either a field of indifference or a field for a battle .",NO
8303,you should either love your receiving country or get out .,NO
8304,that is the duty which is born of the freedom to come and go .,NO
8305,we do not need either to adopt the provisions of the council of europe .,NO
8306,a specific mention must be made about the roma minority .,NO
8307,it could cause enormous human unhappiness .,NO
8308,"mr president , I would like to thank mr tabajdi for his excellent work .",NO
8309,it is regrettable that we are not able to conclude our debates with a resolution .,NO
8310,i am firmly convinced that minority rights must become a part of the acquis communautaire .,NO
8311,"unfortunately , the commission is very reluctant to suggest any measures in this field .",NO
8312,"let us not forget that respect for , and protection of , minorities is one of the copenhagen criteria .",NO
8313,the commission does not even apply the criteria properly during the accession process .,NO
8314,"hu thank you very much , mr president .",NO
8315,there are few political territories within the european union where a double standard is in effect .,NO
8316,we often witnesses the strengthening of assimilationist efforts allegedly in the minority's own interest .,NO
8317,"unfortunately , this is a political tool often used by populist parties to turn the majority against the minority .",NO
8318,the establishment of internal legal standards to protect the legal status of minorities is unavoidable .,NO
8319,"perhaps the method of open coordination may be helpful in this regard , until a legal basis is created .",NO
8320,"finally , I would like to thank mr tabajdi for his excellent work in this area .",NO
8321,romania has allowed its minorities to enjoy national rights which extend beyond relevant european standards .,NO
8322,"indeed , the presence in this chamber of romanian meps who are ethnic hungarians is living proof of this .",NO
8323,the european project is about integration and not about creating enclaves based on ethnic criteria .,NO
8324,this is a loss to representative democracy .,NO
8325,the speaker continued in basque,NO
8327,"yet , for the sustainability of our multi ethnic society , is there any alternative to higher education ?",NO
8328,real life examples show that solving issues related to education fuels strong community development .,NO
8329,"education is , by its own nature , unifying rather than divisive .",NO
8330,"in fact , it teaches us that we are all someone else's minority .",NO
8331,"where the need arises , higher degree education in the language of minorities is part of the national educational system .",NO
8332,let me give you the example of sapientia university in romania .,NO
8333,ro the council of europe is the institution which deals with respect for human rights .,NO
8334,the protection of migrant minorities is part of the principles promoted by social europe .,NO
8335,no one asked them whether they wanted to change nationalities or adopt a new official language .,NO
8336,these traditional national minorities are the most loyal citizens of their respective countries .,NO
8337,their loyalty has been unbroken .,NO
8338,"my country , romania , has been in existence in its current form since 19there are several other member states besides romania that have similar concerns .",NO
8339,i therefore fully support the elaboration of a comprehensive regulation for the protection of minority rights at european level .,NO
8340,i also want to tell the italian minorities who live abroad that they would otherwise not have this possibility .,NO
8341,mr barrot spoke today about non discrimination .,NO
8342,"for this reason , we need positive discrimination in certain situations .",NO
8343,"this , I believe , is a new idea , an idea that needs to be pursued .",NO
8344,the european union has competencies .,NO
8345,we hope for protection of rights for groups that is our goal .,NO
8346,i would be happier if the representatives of these minorities said that they were well treated .,NO
8347,we must work towards unity in cultural diversity .,NO
8348,"in such cases , it is indeed an immense challenge for a single country .",NO
8349,"at european union level , however , it is very important that double standards not be applied .",NO
8350,"we owe equal rights to all european citizens , irrespective of their ethnic background .",NO
8351,romania perhaps has the most generous and up to date legislation on national minorities in europe .,NO
8352,"they enjoy extensive political and social rights , identical to those enjoyed by all citizens .",NO
8353,this is an obvious and welcome approach .,NO
8354,i would like to give you an example where the reality contradicts the assertions being made .,NO
8355,we are talking here about a community of more than 100 000 romanians .,NO
8356,this would be the second church for romanians living in serbia .,NO
8357,"for his audacity in constructing the first one , father alexandru was given a two month suspended sentence .",NO
8358,i believe that romania offers a model of good practice for very many countries in the european union .,NO
8359,parliament must take responsibility for elaborating and adopting a framework regulation that is binding on all member states .,NO
8360,"cultural and linguistic diversity must be preserved , as it is the basis for a healthily functioning union .",YES
8361,"fr mr president , I have two questions for the commissioner .",NO
8362,"this , of course , requires clarification .",NO
8363,"thirdly , mr beazley raised the question of double standards .",NO
8364,"it is true that , despite the problems , the situation of the hungarian community in romania is better .",NO
8365,"there are problems in romania , but the situation is better than in alsace or brittany .",NO
8366,why are there double standards ?,NO
8367,"fourthly , let us talk about territorial autonomy .",NO
8368,"at the end of the day , satisfied minorities are factors for stability in the countries of europe .",NO
8369,that is the reality and I would like to thank you for the debate .,NO
8370,mr tabajdi has just listed a whole raft of problems .,NO
8371,"the open method of coordination has been mentioned , but this method too requires us to have competence .",NO
8372,that is as much as I am able to say .,NO
8373,"i cannot go any further , because we do not have the legal tools .",NO
8374,the member states will not allow us to .,NO
8375,"in the wake of this summit , mr špidla is going to establish a european platform on the roma .",NO
8376,this flexible structure will allow us to rise to the challenges at eu level .,NO
8377,i would like to conclude by saying that I have been touched by what has been said here .,NO
8378,"that said , there is nothing to stop countries informally exchanging good practices or best practices .",NO
8379,no country in contemporary europe denies the rights of minorities .,NO
8380,it appears that europe is of one mind on this .,NO
8381,"nowadays , anyone who queries the rights of minorities will certainly not succeed in the world of politics .",NO
8382,the authorities in the vilnius region were ordered to remove the signs in the polish language within a month .,NO
8383,"article 11 of the latter provides for the use of minority languages , including on street signs .",NO
8384,i have been chairman of arad county council and the romania west regional authority .,NO
8385,the rights of national minorities in eu member states constitute an important issue in terms of human rights .,NO
8386,this provokes a reaction by the majority .,NO
8387,"this has happened , for example , to poles in germany .",NO
8388,germany is thereby violating the fundamental rights of minorities .,NO
8389,the case of people who have arrived in our countries from outside europe is quite different .,NO
8390,"clearly , these individuals have the right to their own culture and language .",NO
8391,voting rights for non citizens of latvia in local elections debate,NO
8392,this is an aberration in the european union .,NO
8393,this is not acceptable .,NO
8394,we have examined specific cases in the committee on petitions .,NO
8395,i do not have another passport .,NO
8396,i do not have another country .,NO
8397,i only have this country and I cannot vote .,NO
8398,that is an aberration .,NO
8399,how is that possible ?,NO
8400,the recommendations of the european parliament and numerous other institutional organisations have been completely ignored .,NO
8401,a large part of latvia's population has been alienated from the state and its institutions .,NO
8402,no wonder the naturalisation rate is slow .,NO
8403,they do not participate .,NO
8404,they do not take decisions .,NO
8405,is this situation good or bad for the european union ?,NO
8406,this is a question for the commission and council .,NO
8407,"democracy cannot flourish without civil society , and there is no civil society without participation .",NO
8408,participation begins at local community level .,NO
8409,the eu must take action on their behalf .,NO
8410,why does the commission not act on this ?,NO
8411,"this does not conform to the european union , its principles or its values .",NO
8412,these people are called non citizens .,NO
8413,"this is , quite simply , unacceptable .",NO
8414,i do not believe it should be tolerated .,NO
8415,those languages were simply banned .,NO
8416,"today , the reality is that they are co official .",NO
8417,i take exception to that .,NO
8418,the commission is aware of the specific circumstances in which the russian speaking minority in latvia find themselves .,NO
8419,the commission therefore cannot talk to latvia regarding the issue of these people's participation in local elections .,NO
8420,it is up to the member states to decide such issues .,NO
8421,"when speaking about russian speaking non citizens , one cannot use the concept of atraditional minority.",NO
8422,"why that is , I do not know .",NO
8423,what does that mean ?,NO
8424,"on behalf of the pse group . mr president , commissioner barrot's response was very disappointing .",NO
8425,"i would have expected a more positive response from him , despite the legal constraints that he operates under .",NO
8426,i am from ireland I speak english .,NO
8427,"english is my mother tongue , but I am not english I am irish .",NO
8428,the reality is that the european union is made up of many states .,NO
8429,we have had to deal with that .,NO
8430,we must encourage them to participate politically .,NO
8431,one of the largest migrant communities in ireland is british .,NO
8432,they can all vote in local elections in ireland .,NO
8433,such a position is also in line with international law and practice .,NO
8434,"latvia aims to have citizens with full rights , instead of having non citizens with many rights .",NO
8435,"as a result , since 1993 , the number of non citizens has fallen by 59 % .",NO
8436,the majority of latvia's businesses belong to russian entrepreneurs .,NO
8437,these are arguments that permit us to reject the complaints against the latvian state .,NO
8438,let us not therefore prevent them from living in their world of past values !,NO
8439,the latvian non citizens are not nationals of any state and they have no right to participate in any elections .,NO
8440,this is a unique case in parliamentary history .,NO
8441,the commissioner spoke only of the integration of non citizens into society and their naturalisation .,NO
8442,"latvia was invaded by stalin , then by hitler , and then by stalin again .",NO
8443,"the latvian population was then subjected to imprisonment , deportations and executions .",NO
8444,"stalin then imported not only russian speakers , but ukrainian speakers and belarussian speakers .",NO
8445,"i think that is important , not just for latvia , but for all our countries .",NO
8446,do not reject it .,NO
8447,do not ask for privileges if you do not want to play your part .,NO
8448,you can take citizenship .,NO
8449,there was a palestinian exile who took latvian citizenship .,NO
8450,"if he could learn the language , I am sure that those russian speaking latvians can do the same .",NO
8451,of course we are reminded that the great majority have taken citizenship .,NO
8452,"if you are part of a country , I think you have rights and duties .",NO
8453,hu I wish to congratulate alexandra dobolyi and her fellow authors .,NO
8454,this is one of the most serious human rights issues in the european union today .,NO
8455,"i am well acquainted with the practice , but nothing can justify historical revenge .",NO
8456,"well , that is quite sad .",NO
8457,a historical compromise must be found between the latvian majority and the russian minority .,NO
8458,"this is the only solution , there is no other .",NO
8459,latvia's citizenship law is one of the most generous in europe .,NO
8460,"any non citizen can acquire full rights , including the right to vote , by becoming a citizen .",NO
8461,latvia's non citizens have come about as the direct result of the 50 year long soviet occupation .,NO
8462,their arrival is a direct consequence of the occupation of latvia implemented by the soviet union .,NO
8463,sv what are the consequences for the latvian people of fifty years of soviet occupation ?,NO
8464,why does a large proportion of the russian speaking population not want to apply for citizenship ?,NO
8465,what is russia's part in all this ?,NO
8466,compulsory schooling involves learning the language of the country and possibly other languages .,NO
8467,"in addition , students learn about history .",NO
8468,"compulsory schooling , as we understand it , helps people to live together in harmony .",NO
8469,this is the purpose served by a good compulsory schooling system .,NO
8470,"mr president , I have listened carefully to both sides .",NO
8471,"unfortunately , that is all I can say .",NO
8472,the sitting was closed at 10 55 p.m.,NO
8473,the procedure in a horizontal committee was new .,NO
8474,that has been the greatest advantage of this committee .,NO
8475,"we know very well that prohibitions , sanctions and doing without achieve very little .",NO
8476,"instead , we must encourage changes in awareness as well as innovation and motivation .",NO
8477,the report is also honest .,NO
8478,we have stated that we do not have any super weapons .,NO
8479,the report is therefore directed at us all .,NO
8480,that is the wonderful thing about it .,NO
8481,i am particularly pleased about that .,NO
8482,nor does it disparage any area .,NO
8483,"the amount will increase , and we must work on this to bring about innovation .",NO
8484,i just said that we should involve our citizens so that they can do something in their own houses .,NO
8485,"if we understand that , then this task has been worthwhile .",NO
8486,its tireless efforts have greatly contributed towards shaping the eu position on climate change .,NO
8487,"as you know , the work during the presidency will focus on the international negotiation process .",NO
8488,the copenhagen conference is now only 10 months away .,NO
8489,"this encompasses further mitigation efforts , adaptation actions and finance and technology means to make that response operational .",NO
8490,"i have spoken on the phone to carol browner , the president's assistant for energy and climate change .",NO
8491,"last year , our priority was the package of measures on climate change and energy .",NO
8492,our efforts bore fruit and we can now be proud of this very important package of legislative acts .,NO
8493,your report has therefore come along at the right time .,NO
8494,one illustrative example is the proposal which the commission tabled recently on the energy efficiency of buildings .,NO
8495,"nonetheless , I believe that agreement will be reached in copenhagen .",NO
8496,we can and must reach an agreement .,NO
8497,there is no time to lose .,NO
8498,it is a question of political will and I think that the will exists .,NO
8499,one illustrative element is the measures announced recently for cars .,NO
8500,comparability will be of decisive importance both in achieving the environmental targets and in safeguarding fair terms of competition .,NO
8501,the commission has proposed a series of criteria for defining comparability .,NO
8502,this means that we shall obviously be expecting more from the rapidly developing economies than from the others .,NO
8503,"furthermore , one part needs to be public funding and we must examine ways of securing these public funds .",NO
8504,"today , in the midst of a recession , this will not be an easy debate .",NO
8505,international negotiations will proceed apace and intense diplomatic work will be needed on our part this year .,NO
8506,i welcome your contribution to this major effort .,NO
8507,"our discussions were quite dynamic at times , precisely because of the diversity of the views expressed .",NO
8508,"personally , I think that it would be a good idea if we pursued this particular methodology .",NO
8509,"however , that alone will not be enough .",NO
8510,"in this regard , we need to achieve much more when it comes to information campaigns and awareness raising .",NO
8511,i also agree with the comments made about the correlation between the financial crisis and climate change .,NO
8512,"since our objective is to limit global temperature increases , we also need to work internationally , of course .",NO
8513,"it has , in my view , become an all encompassing report with nearly 200 recommendations , and really worthwhile .",NO
8514,i would like to mention five core themes that are really essential for our group .,NO
8515,all these areas deserve our full attention and an effective solution .,NO
8516,"secondly , climate policy should also have a social dimension and should show solidarity .",NO
8517,"we need to address employment , income aspects and energy poverty .",NO
8518,"we need to know how new technology will be paid for , and who will bear that cost .",NO
8519,we want to know how many jobs will be created and whether any jobs will be lost .,NO
8520,we want retraining programmes for the new green poll workers .,NO
8521,"without maximum social dedication , it is extremely difficult to maintain political support for climate policy .",NO
8522,"our third core theme is related to the economic crisis , where we once again need a comprehensive solution .",NO
8523,"the green new deal has now become a concept , and one that receives our wholehearted support .",NO
8524,considerable investments are needed .,NO
8525,interventions to support banks and businesses should at least have a sustainable component .,NO
8526,our fourth core theme is agriculture .,NO
8527,this is usually not something we discuss when we talk about the climate .,NO
8528,"what is also clear is that agriculture does not only pose a problem , it also offers solutions .",NO
8529,"sound agriculture , effective land use and an appropriate use of biomass can help reduce greenhouse gases .",NO
8530,"our fifth core theme , finally , is about involving people .",NO
8531,this requires the provision of information and transparency .,NO
8532,local initiatives are very valuable in this regard .,NO
8533,"free energy audits for houses , better public transport and local and regional food production .",NO
8534,"together , we can achieve a great deal .",NO
8535,"with this set of measures , there is also reason for optimism .",NO
8536,i am indebted to all fellow members who have made a contribution to this .,NO
8537,it is the fact that human population is growing at unprecedented and unsustainable levels .,NO
8538,"in the lifetimes of many of us here , population on this planet will have trebled .",NO
8539,it continues to grow at the rate of 200 000 every day 80 million a year .,NO
8540,why does china need a new coal fired power station every week ?,NO
8541,the minister is flying to india today .,NO
8542,population growth is even faster there and again they are turning to coal for energy .,NO
8543,but this planet has finite resources .,NO
8544,we need to slow and reverse our population growth .,NO
8545,contraception must be available for all .,YES
8546,women must have control over their reproductive lives it is so preferable to the alternative of unsafe abortion .,YES
8547,our refusal to place it there is the greatest folly .,NO
8548,families everywhere should be talking about this .,NO
8549,governments should be setting targets for population stability or reduction .,NO
8550,we need to reduce bureaucracy and support smes and technology developers .,NO
8551,the market is there .,NO
8552,the regulatory framework is clear .,NO
8553,we have set the targets for renewable energy .,NO
8554,"although funding is scarce , it is crucial to technology development and to maintaining expertise .",NO
8555,banks and funders will have to take risks on green technology start ups .,NO
8556,there will be long term gain if we step up to the mark .,NO
8557,the jobs and wealth will flow .,NO
8558,"for example , ireland could become to ocean wave technology what finland is to mobile phone technology .",NO
8559,we have the undisputed potential due to weather and location in the atlantic .,NO
8560,we have the technology patented .,NO
8561,we have the expertise in situ and we have the legal target framework .,NO
8562,"they have taken the risks , and we need to support them through increased funding .",NO
8563,delays at this point would be detrimental .,NO
8564,green technology is our future .,NO
8565,"we have the opportunity now , so let us use it .",NO
8566,the length of the report is evidence of the huge number of issues there were to deal with .,NO
8567,i can see that any legislation at european level relating to this issue will be establishing new ground .,NO
8568,i would like to mention three things in particular .,NO
8569,we are also demanding measures to be taken in respect of the meat industry .,NO
8570,a large proportion of this feed is exported to europe as soya .,NO
8571,this is not sustainable .,NO
8572,the car industry is another growing problem .,NO
8573,"between 1990 and 2005 , emissions from the european transport industry increased by 32 % .",NO
8574,a huge investment in public transport and other environmentally friendly transport is needed .,NO
8575,we need to ask ourselves whether the situation with all these forms of transport is sustainable .,NO
8576,should we not encourage local production and consumption instead ?,NO
8577,"if they are adopted , my group will be unable to support this resolution .",NO
8578,"therefore , please vote against amendments 12 and thank you very much .",NO
8579,"we should not , therefore , get too bogged down by short term events .",NO
8580,"to reduce or prevent the negative effects of climate change , tough action is needed across a wide area .",NO
8581,we need tough goals for the period between 2020 and 20not one section of society should escape making efforts .,NO
8582,this report makes a particularly valuable contribution towards this .,NO
8583,"mr president , 500 years ago there was a consensus amongst learned men that the world was flat .",NO
8584,they were wrong .,NO
8585,"weapon systems would fail , commerce would stop , aircraft would fall out of the sky .",NO
8586,nothing at all happened .,NO
8587,today we are told there is a consensus around catastrophic man made global warming .,NO
8588,"it , too , is wrong .",NO
8589,nor is it a consensus .,NO
8590,"ice caps have shrunk on mars , yet nobody imagines that industrial emissions or 4x4s are to blame .",NO
8591,the latest set of measures was the recently approved energy package .,NO
8592,"the report that we have before us is , as has already been said , a set of recommendations .",NO
8593,the only way we can be really effective is to improve efficiency .,NO
8594,"i would , however , like to focus on the content .",NO
8595,i have here some statistics on our work .,NO
8596,"i personally would argue that it is a success , if only a modest one .",NO
8597,at present the equal conditions that will convince people in developing countries to espouse this policy are still lacking .,NO
8598,it is somewhat too eurocentric and somewhat too compartmentalised as well .,NO
8599,we are looking at a lifestyle change .,NO
8600,"it mr president , ladies and gentlemen , my compliments to president florenz .",NO
8601,against that measure we are still failing .,NO
8602,we are failing in not bringing sufficient ambition to this debate .,NO
8603,the latest science tells us we need to be reducing emissions by around 9 % year on year .,NO
8604,the targets set out in this report and in the eu's climate package are simply not ambitious enough .,NO
8605,we are failing in not bringing enough urgency to this debate .,NO
8606,we are failing in not being consistent .,NO
8607,"today , we speak of renewables and energy efficiency .",NO
8608,but that is not about kick starting economic growth in abusiness as usualdirection .,NO
8609,"that debate urgently needs to be begun , and the eu is very well placed to start it .",NO
8610,these reduction targets cannot be met without serious diminution in food production .,NO
8611,twenty per cent by 2020 was a start but only a start .,NO
8612,"with the obama presidency , we have the opportunity to stop exchanging words and start exchanging ideas .",NO
8613,"we hear that a meeting will take place on 6 march 200with the united states , we can now move to that 30 % target and beyond .",NO
8614,we need to move on to shipping and to agricultural emissions .,NO
8615,the commissioner has referred to the urgent need to talk to the low income countries in the developing world .,NO
8616,"they will be devastated , but they did not cause this problem .",NO
8617,devastation will come to agriculture .,NO
8618,"they must take action , but they need our help .",NO
8619,i may be wrong about the possible flu pandemic .,YES
8620,i may be wrong about the probable impact of global warming .,NO
8621,"however , the majority of scientists may be right the majority of politicians may be right .",NO
8622,many are sceptical about whether the committee on climate change will bring added value to parliament's work .,NO
8623,"that leads to credible results , as we can see .",NO
8624,the mindset in the european union has long been that we need action to prevent climate change .,NO
8625,"we have , however , lacked the financial instruments .",NO
8626,sv this report promises a great deal .,NO
8627,no measures are proposed with regard to the protection of land and soil .,NO
8628,alternative fuels are also treated with far too much restraint .,NO
8629,"there are options here , too .",NO
8630,"in this regard , we needed to come up with more with regard to growth and jobs .",NO
8631,"it is , of course , possible to create jobs in europe .",NO
8632,they are needed here .,NO
8633,we need to anchor the measures in economic policy .,NO
8634,we must create a basis for development in the field of energy .,NO
8635,do you not understand this ?,NO
8636,it covers all major areas of social life that have a bearing on the dramatic increase in climate change .,NO
8637,it is high time for us to prepare necessary measures within an eu context .,NO
8638,the situation in agriculture and in securing sufficient food for human consumption will also become very serious .,NO
8639,"to my climate sceptic friends , could I say that the precautionary principle should be considered .",NO
8640,i would recommend it to them .,NO
8641,i should like to thank karl heinz florenz for his report .,NO
8642,they have all done an excellent job and provided a good basis for the work in the future parliament .,NO
8643,the report before us is long it makes many points .,NO
8644,i think those who talked about bankrupting their countries by doing this are very wrong .,NO
8645,so we have to get this package of measures right .,NO
8646,dorette corbey talked about what can be done in the way of energy efficiency measures .,NO
8647,now we have plans to develop carbon capture and storage in many of our power plants and major industries .,NO
8648,"climate policy cannot stand alone , but needs to be incorporated into all of our legislation .",NO
8649,there is not much time left .,NO
8650,we have now adopted our climate package within the eu here in parliament .,NO
8651,this is something that the governments of the eu need to take note of .,NO
8652,we need to think long term .,NO
8653,"extra quotas for industry , while fostering its competitiveness , nonetheless make it difficult to obtain funding .",NO
8654,this could be done by centrally covering part of the costs of making the changes .,NO
8655,"europe must act as a pioneer and take charge of realistic , necessary measures on an international basis .",NO
8656,this is completely short sighted .,NO
8657,"madam president , we have here an ambitious plan .",NO
8658,a plan to do nothing less than save the world a big job at the best of times .,NO
8659,this simple statement was the first to be attacked and removed .,NO
8660,what was so objectionable to the committee ?,NO
8661,the wordcreation.,NO
8662,because creation has a creator .,NO
8663,"it does not matter to me how the universe was created , or in what time frame .",NO
8664,"well , all I can say is good luck with it , and may god spare us .",NO
8665,i do not want discuss the details of this report .,NO
8666,"in my opinion , it should simply be adopted .",NO
8667,"during numerous months of discussions on the subject , far reaching amendments were made to this package .",NO
8668,this has been our great achievement .,NO
8669,"commissioner , it is an excellent decision .",NO
8670,we must now speedily examine it in parliament .,NO
8671,another very important issue is the fact that we need to base our work on a global agreement .,NO
8672,that is the assumption behind mr florenz's report .,NO
8673,that is what is most important to us today .,NO
8674,the problem now is to find out how we can implement all the report's recommendations .,NO
8675,we must urgently find means of fighting global warming .,NO
8676,the european commission estimates that an annual investment of eur 175 billion is required to fight global warming .,NO
8677,"with a budget of eur 76 billion , we are wide of the mark .",NO
8678,we must face up to the consequences of climate change there is no question about that .,NO
8679,it is only the means for doing so chosen by the report that I cannot fully support .,NO
8680,europe leading the way is not enough to convince the rest of the world .,NO
8681,"secondly , with our current level of knowledge , renewable energies cannot completely replace fossil energy sources .",NO
8682,"it may be motivating on a political level to demand that , but it is not realistic .",NO
8683,"the political will , as great as that may be , will not nullify any physical laws .",NO
8684,"thirdly , biofuels are hailed as environmentally friendly alternatives .",NO
8685,"fourthly , a means of mobility that protects resources in the long term is a reasonable goal .",NO
8686,providing incentives may help to achieve this goal .,NO
8687,"unfortunately , the german liberals cannot give their support to this .",NO
8688,"however , global warming has always started a dozen or so centuries before any increase in carbon dioxide levels .",NO
8689,"if we acknowledged this fact , mankind would save billions of dollars by giving up pointless activities .",NO
8690,the money saved could be spent on the fight against poverty and on new technologies .,NO
8691,what a climatic masterstroke .,NO
8692,"madam president , a mystique bordering on a religious creed has grown up around this alleged global warming .",NO
8693,"the global warming theory has cast co2 , a natural constituent of the atmosphere , as a demon gas .",NO
8694,"it does have the effect slightly of trapping heat around the world , but how ?",NO
8695,you need to draw a graph showing how co2 perhaps causes warming .,NO
8696,"we are nearly on the flat line , if not already there .",NO
8697,extra co2 will have no more effect .,NO
8698,there is no problem .,NO
8699,"madam president , I would like to thank mr florenz .",NO
8700,this is a rich report with a great number of concrete proposals .,NO
8701,all these factors will accelerate warming .,NO
8702,we can control emissions but we cannot control these factors .,NO
8703,that is why some of us advocate very strongly the 350 ppm target .,NO
8704,this dimension of the problem is referred to in the report but only in passing .,NO
8705,i would have liked it to be at the core of the report .,NO
8706,"finally , let me just endorse what guido sacconi said .",NO
8707,what is needed from us today ?,NO
8708,"climate change is bringing about broader democratic participation by society , a society which lives with different cultural values .",NO
8709,"the answer lies in making the economy green and making businesses , households and the government sustainable .",NO
8710,"if they want qualifications for workers , they are up against policy that is very compartmentalised .",NO
8711,this report calls for an integrated approach that also hangs together territorially .,NO
8712,"if you do not do this , you will lose out in the end .",NO
8713,"fortunately , my amendment on the use of regions and cities has been adopted .",NO
8714,"they will be following the conclusions of this report , close to the citizens and close to business .",NO
8715,"this is the right approach , in my view .",NO
8716,"as such , this approach can count on my backing .",NO
8717,"i am opposed to the over simplified approach towards the agricultural sector in paragraph 189 , though .",NO
8718,"as such , we will oppose this paragraph .",NO
8719,a great deal can be done there .,NO
8720,there is also massive uncertainty which means that security is so important .,NO
8721,"however , we must also look to the future .",NO
8722,"however , commissioner , madam president , we still have the challenge of putting it across to our citizens .",NO
8723,"de madam president , the florenz report actually contains a lot of good suggestions .",NO
8724,this is shown very clearly in the report along with many opportunities for new technologies and economic development .,NO
8725,"however , I think it is a shame that we have excluded large areas of science .",NO
8726,"corresponding applications were rejected by the majority , and that was that .",NO
8727,science is only what fits into the political concept .,NO
8728,"this will not work , because science does not allow itself to be manipulated .",NO
8729,"thus , the report will , unfortunately , hit rocky ground in the end .",NO
8730,and anyone who demands protective clothing against the effects of the climate is deliberately stirring up anxiety .,NO
8731,i hope that these radical and misplaced ideologies will not be included in the report .,NO
8732,today we have in front of us the final report to be put to the vote .,NO
8733,"through the committee's method of working , this report has also succeeded in achieving a horizontal viewpoint .",NO
8734,the fight against climate change cannot be waged by europe alone .,NO
8735,we must also get other continents and countries on board .,NO
8736,when we talk about adaptation measures then we are also talking about funding .,NO
8737,water plays a central role in climate change .,NO
8738,until now rainwater has been regarded as waste water which had to be disposed of as quickly as possible .,NO
8739,the new approach for water is based on the principle that rainwater is the key to life .,NO
8740,i am delighted that it will be introduced by an expert group of czech and slovak scientists .,NO
8741,"this is an interesting approach , minister bursík .",NO
8742,i believe that it will win your support .,NO
8743,it is important not to give up on such a complex problem .,NO
8744,we face a challenge and we must act now because our actions today will determine our future .,NO
8745,we will prevail only if we give thegreen lightto all progressive solutions in europe .,NO
8746,residents of lithuania and the other baltic countries really thirst for a european electric energy network .,NO
8747,"the call to increase structural fund money , used to heat multi apartment dwellings , is very important .",NO
8748,miracles rarely happen .,NO
8749,let us go beyond discussion .,NO
8750,let us make sure that the member states make a solid commitment .,NO
8751,"yet , there is something we should be worried about .",NO
8752,"2009 is a european election year , when the european commission will change .",NO
8753,"it is a way of reducing energy bills , which will please consumers .",NO
8754,"yes , the fight against climate change is one of the responses to the economic crisis .",NO
8755,i have recommended the development of greener forms of tourism such as sports tourism or cultural tourism .,NO
8756,i feel that we must consider creating an international fund for planting trees on unused landmass .,NO
8757,what is needed ?,NO
8758,every initiative we have launched must be speeded up .,NO
8759,it is not enough to talk about these things we must make them a reality .,NO
8760,"what sort of things , for example ?",NO
8761,"a common european airspace , a single european sky and our management systems .",NO
8762,"above all , we must deal with our cities and other difficult areas .",NO
8763,"ultimately , this is perhaps the most difficult task .",NO
8764,"unfortunately , I found no facts in that report , only a belief in the infallibility of ipcc reports .",NO
8765,"agriculture is particularly affected by climate change , as its products are produced in the open air .",NO
8766,agriculture is often depicted as the big cause of climate change .,NO
8767,this shows that agriculture should not be depicted as an environmental villain .,NO
8768,quite the opposite .,NO
