id,text,gloss,health
19261,"nevertheless foods must be included in this regulation , because otherwise .","DESC-NEVERLESS FOOD MUST BE INCLUDE IN THIS REGULATION , BECAUSE DESC-ORWISE .",NO
19271,"after all , cloning causes great distress to animals .","AFTER ALL , CLONE CAUSE DESC-GREAT DISTRESS TO ANIMAL .",NO
19288,"sixty four amendments were adopted in the committee on the environment , public health and food safety .","SIXTY FOUR AMENDMENT BE ADOPT IN COMMITTEE ON ENVIRONMENT , PUBLIC HEALTH AND FOOD SAFETY .",NO
19295,"the only remaining exception will be for emergencies , such as where a large scale epidemic occurs .","DESC-ONLY REMAIN EXCEPTION WILL BE FOR EMERGENCY , DESC-SUCH AS WHERE DESC-LARGE SCALE EPIDEMIC OCCUR .",NO
19345,our health is maintained through a clean environment and the atmosphere around us .,X-WE HEALTH BE MAINTAIN THROUGH DESC-CLEAN ENVIRONMENT AND ATMOSPHERE AROUND X-WE .,NO
19721,"simple the irish government is tearing the heart out of health services , education , childcare and training .","DESC-SIMPLE DESC-IRISH GOVERNMENT BE TEAR HEART OUT HEALTH SERVICE , EDUCATION , CHILDCARE AND TRAINING .",NO
19857,they assured us that nothing in the epa would affect the caribbean countriesaccess to medicines .,X-Y ASSURE X-WE THAT NOTHING IN EPA WOULD AFFECT CARIBBEAN COUNTRIESACCESS TO MEDICINE .,NO
19964,"also , when consumed as replacement foods , they must not be nutritionally disadvantageous for the consumer .","DESC-ALSO , WHEN CONSUME AS REPLACEMENT FOOD , X-Y MUST DESC-NOT BE DESC-NUTRITIONALLY DESC-DISADVANTAGEOUS FOR CONSUMER .",NO
19968,foods containing nanomaterials should be banned until such time as an animal friendly and safe method of evaluation is found .,FOOD CONTAIN NANOMATERIAL SHOULD BE BAN UNTIL DESC-SUCH TIME AS ANIMAL DESC-FRIENDLY AND DESC-SAFE METHOD EVALUATION BE FIND .,NO
19989,the affected ivorians would then be able to work as carers and in similar professions .,DESC-AFFECTED IVORIAN WOULD DESC-N BE DESC-ABLE TO WORK AS CARER AND IN DESC-SIMILAR PROFESSION .,NO
20309,"furthermore , as you know , reforms in the education and healthcare sectors are now priorities for the government .","DESC-FURRMORE , AS X-YOU KNOW , REFORM IN EDUCATION AND HEALTHCARE SECTOR BE DESC-NOW PRIORITY FOR GOVERNMENT .",NO
20634,"that person still feels , even when just walking down the street , that he is no longer alive .","THAT PERSON DESC-STILL FEEL , DESC-EVEN WHEN DESC-JUST WALK DESC-DOWN STREET , THAT X-HE BE NO DESC-LONGER DESC-ALIVE .",YES
20850,it should be adopted by the council of health ministers .,X-IT SHOULD BE ADOPT BY COUNCIL HEALTH MINISTER .,NO
20898,i share your concerns about the serious risks this presents to human health and the environment .,X-I SHARE X-YOU CONCERN ABOUT DESC-SERIOUS RISK THIS DESC-PRESENT TO DESC-HUMAN HEALTH AND ENVIRONMENT .,NO
20988,"often they are people with disabilities , or even children .","DESC-OFTEN X-Y BE PEOPLE WITH DISABILITY , OR DESC-EVEN CHILD .",NO
20997,i agree that we should do more to guarantee the nutritional quality of the food distributed .,X-I AGREE THAT X-WE SHOULD DO MORE TO GUARANTEE DESC-NUTRITIONAL QUALITY FOOD DISTRIBUTE .,NO
21022,the statistics show that the programme only alleviates the problem of malnutrition but is not eliminating it .,STATISTICS SHOW THAT PROGRAM DESC-ONLY ALLEVIATE PROBLEM MALNUTRITION BUT BE DESC-NOT ELIMINATE X-IT .,NO
21024,is it not paradoxical that it is the inhabitants of country areas who are threatened by poverty and malnutrition ?,BE X-IT DESC-NOT DESC-PARADOXICAL THAT X-IT BE INHABITANT COUNTRY AREA WHO BE THREATEN BY POVERTY AND MALNUTRITION ?,NO
21054,it would be very hard to find a better and more nourishing food .,X-IT WOULD BE DESC-VERY DESC-HARD TO FIND DESC-BETTER AND MORE DESC-NOURISHING FOOD .,NO
21081,it is estimated that 43 million eu citizens are at risk of malnutrition that is a shocking figure .,X-IT BE ESTIMATE THAT 43 MILLION EU CITIZEN BE AT RISK MALNUTRITION THAT BE DESC-SHOCKING FIGURE .,NO
21251,healthy food is what must be made the heart of the matter .,DESC-HEALTHY FOOD BE WHAT MUST BE MAKE HEART MATTER .,NO
21621,"there is nothing more important than freedom , health and life itself .","DESC-RE BE NOTHING MORE DESC-IMPORTANT THAN FREEDOM , HEALTH AND LIFE X-ITSELF .",NO
21809,"she had been rejected not on grounds of intellectual ability , but because she has a disability .","X-SHE HAVE BE REJECT DESC-NOT ON GROUNDS DESC-INTELLECTUAL ABILITY , BUT BECAUSE X-SHE HAVE DISABILITY .",NO
21810,the letter stated that the university was unable to offer her the care she needs .,LETTER STATE THAT UNIVERSITY BE DESC-UNABLE TO OFFER X-SHE CARE X-SHE NEED .,YES
21848,"all older people should have the right to have access to health care , whatever their age .","ALL DESC-OLDER PEOPLE SHOULD HAVE DESC-RIGHT TO HAVE ACCESS TO HEALTH CARE , WHATEVER X-Y AGE .",NO
21872,can you imagine that a black female wheelchair user can feel discriminated against ?,CAN X-YOU IMAGINE THAT DESC-BLACK FEMALE WHEELCHAIR USER CAN FEEL DESC-DISCRIMINATE AGAINST ?,NO
21965,i therefore urge the whole house to vote against the ppe de group's amendment 81 tomorrow .,X-I DESC-REFORE URGE WHOLE HOUSE TO VOTE AGAINST PPE DE GROUP X-POSS AMENDMENT 81 TOMORROW .,NO
21966,ask the citizens of the eu they are wiser and more up to date than you ppe de group members .,ASK CITIZEN EU X-Y BE DESC-WISER AND MORE DESC-UP TO DATE THAN X-YOU PPE DE GROUP MEMBER .,NO
22035,autism must be recognised as a separate disability among mental disabilities and specific strategies must be devised for it .,AUTISM MUST BE RECOGNIZE AS DESC-SEPARATE DISABILITY AMONG DESC-MENTAL DISABILITY AND SPECIFIC STRATEGY MUST BE DEVISE FOR X-IT .,NO
22049,combating discrimination of all kinds and helping the disabled to participate in public life are important tasks .,COMBATE DISCRIMINATION ALL KIND AND HELP DESC-DISABLED TO PARTICIPATE IN PUBLIC LIFE BE DESC-IMPORTANT TASK .,NO
22388,establishment of residue limits of pharmacologically active substances in foodstuffs of animal origin debate,ESTABLISHMENT RESIDUE LIMIT DESC-PHARMACOLOGICALLY DESC-ACTIVE SUBSTANCE IN FOODSTUFF ANIMAL ORIGIN DEBATE,NO
22392,under present legislation they are often forced to resort to unlicensed medicines .,UNDER DESC-PRESENT LEGISLATION X-Y BE DESC-OFTEN FORCE TO RESORT TO DESC-UNLICENSED MEDICINE .,NO
22396,"in 2008 , after eight yearsexperience , the cvmp issued a new guideline .","IN 2008 , AFTER EIGHT YEARSEXPERIENCE , CVMP ISSUE DESC-NEW GUIDELINE .",NO
22397,the risk analysis approach for residues of veterinary medicinal products in food of animal origin .,RISK ANALYSIS APPROACH FOR RESIDUE DESC-VETERINARY MEDICINAL PRODUCT IN FOOD ANIMAL ORIGIN .,NO
22400,i am very much aware of the particular importance of the availability of veterinary medicinal products .,X-I BE DESC-VERY DESC-MUCH DESC-AWARE DESC-PARTICULAR IMPORTANCE AVAILABILITY DESC-VETERINARY MEDICINAL PRODUCT .,NO
22404,the lack of authorised medicines poses a real threat to animal health and welfare and the safety of consumers .,LACK AUTHORISE MEDICINE POSE DESC-REAL THREAT TO ANIMAL HEALTH AND WELFARE AND SAFETY CONSUMER .,NO
22411,"nowadays more and more pharmaceutical companies have a division dealing with animal products , which generate considerable revenue .","DESC-NOWADAYS MORE AND MORE DESC-PHARMACEUTICAL COMPANY HAVE DIVISION DEAL WITH ANIMAL PRODUCT , WHICH GENERATE DESC-CONSIDERABLE REVENUE .",NO
22413,all this in done with medicinal products which are often harmful to human beings .,ALL THIS IN DO WITH MEDICINAL PRODUCT WHICH BE DESC-OFTEN DESC-HARMFUL TO DESC-HUMAN BE .,NO
22443,health concerns associated with electromagnetic fields short presentation,HEALTH CONCERN ASSOCIATE WITH DESC-ELECTROMAGNETIC FIELD DESC-SHORT PRESENTATION,NO
22674,establishment of residue limits of pharmacologically active substances in foodstuffs of animal origin,ESTABLISHMENT RESIDUE LIMIT DESC-PHARMACOLOGICALLY DESC-ACTIVE SUBSTANCE IN FOODSTUFF ANIMAL ORIGIN,NO
22708,health concerns associated with electromagnetic fields,HEALTH CONCERN ASSOCIATE WITH DESC-ELECTROMAGNETIC FIELD,NO
22929,combating discrimination of all kinds and bringing about participation in public life by the disabled are important jobs .,COMBATE DISCRIMINATION ALL KIND AND BRING ABOUT PARTICIPATION IN PUBLIC LIFE BY DESC-DISABLED BE DESC-IMPORTANT JOB .,NO
22958,"for me , it is very important that no one should be discriminated against on the grounds of disability .","FOR X-I , X-IT BE DESC-VERY DESC-IMPORTANT THAT NO ONE SHOULD BE DESC-DISCRIMINATE AGAINST ON GROUNDS DISABILITY .",NO
22966,i have met with and been lobbied by many disability interest groups who asked for consideration of their position .,X-I HAVE MEET WITH AND BE LOBBY BY DESC-MANY DISABILITY INTEREST GROUP WHO ASK FOR CONSIDERATION X-Y POSITION .,NO
22982,originally the directive was expected to deal with discrimination against physically disabled and older people .,DESC-ORIGINALLY DIRECTIVE BE EXPECT TO DEAL WITH DISCRIMINATION AGAINST DESC-PHYSICALLY DESC-DISABLED AND DESC-OLDER PEOPLE .,NO
23056,the waiting lists of maltese and gozitans in need of medical tests and surgical interventions are unbelievable .,WAIT LIST MALTESE AND GOZITAN IN NEED DESC-MEDICAL TEST AND DESC-SURGICAL INTERVENTION BE DESC-UNBELIEVABLE .,NO
23057,2 per cent of the population is waiting for cataract operations .,2 PER CENT POPULATION BE WAIT FOR CATARACT OPERATION .,NO
23065,i voted in favour of mrs ries's report on health concerns associated with electromagnetic fields .,X-I VOTE IN FAVOR MR RIE X-POSS REPORT ON HEALTH CONCERN ASSOCIATE WITH DESC-ELECTROMAGNETIC FIELD .,NO
23118,"de mr president , mon 810 was approved in the european union in 199it was subsequently approved again in 2008 and then , a few days ago , it was prohibited .","DE MR PRESIDENT , MON 810 BE APPROVE IN EUROPEAN UNION IN 199IT BE DESC-SUBSEQUENTLY APPROVE DESC-AGAIN IN 2008 AND DESC-N , DESC-FEW DAY DESC-AGO , X-IT BE PROHIBIT .",NO
23125,"secondly , coordinated public intervention at national level and","DESC-SECONDLY , COORDINATE PUBLIC INTERVENTION AT DESC-NATIONAL LEVEL AND",NO
23437,i would like to say a few words about the context of this discharge .,X-I WOULD LIKE TO SAY DESC-FEW WORD ABOUT CONTEXT THIS DISCHARGE .,NO
23558,so thank you all for this contribution to the complicated discharge machinery .,DESC-SO THANK X-YOU ALL FOR THIS CONTRIBUTION TO COMPLICATE DISCHARGE MACHINERY .,NO
23592,"the european monitoring centre for drugs and drug addiction in lisbon ,","EUROPEAN MONITORING CENTER FOR DRUG AND DRUG ADDICTION IN LISBON ,",NO
23621,safety and protection are extremely important for public health and receive our full support .,SAFETY AND PROTECTION BE DESC-EXTREMELY DESC-IMPORTANT FOR PUBLIC HEALTH AND RECEIVE X-WE DESC-FULL SUPPORT .,NO
23632,this has had a health impact on the residents in its region especially those of marsaxloqq .,THIS HAVE HAVE HEALTH IMPACT ON RESIDENT IN X-ITS REGION DESC-ESPECIALLY THOSE MARSAXLOQQ .,NO
23633,"in addition , there is a health hazard which cannot be estimated .","IN ADDITION , DESC-RE BE HEALTH HAZARD WHICH CAN DESC-NOT BE ESTIMATE .",NO
23745,"like the financial crisis , pandemics , climate change , immigration and serious crime , fish are alter globalists .","LIKE DESC-FINANCIAL CRISIS , PANDEMIC , CLIMATE CHANGE , IMMIGRATION AND DESC-SERIOUS CRIME , FISH BE ALTER GLOBALIST .",NO
23927,people are looking for hope they are looking for some information about recovery .,PEOPLE BE LOOK FOR HOPE X-Y BE LOOK FOR SOME INFORMATION ABOUT RECOVERY .,NO
24164,animal health conditions governing the movement and importation from third countries of equidae,ANIMAL HEALTH CONDITION GOVERN MOVEMENT AND IMPORTATION FROM DESC-THIRD COUNTRY EQUIDA,NO
24333,"in addition to protecting consumers , the legislation is also aimed at safeguarding the health and safety of workers .","IN ADDITION TO PROTECT CONSUMER , LEGISLATION BE DESC-ALSO AIM AT SAFEGUARD HEALTH AND SAFETY WORKER .",NO
24336,it is an acknowledged fact that using pesticides poses a threat to both human health and the environment .,X-IT BE ACKNOWLEDGE FACT THAT USE PESTICIDE POSE THREAT TO BOTH DESC-HUMAN HEALTH AND ENVIRONMENT .,NO
24338,it is intended to harmonise standards on environmental protection and human health in the european union .,X-IT BE INTEND TO HARMONISE STANDARD ON DESC-ENVIRONMENTAL PROTECTION AND DESC-HUMAN HEALTH IN EUROPEAN UNION .,NO
24346,"traffic noise , of which tyre noise is an important component , is a major cause of ill health .","TRAFFIC NOISE , WHICH TYRE NOISE BE DESC-IMPORTANT COMPONENT , BE DESC-MAJOR CAUSE DESC-ILL HEALTH .",NO
24590,the company's good reputation may be lost as a result of its involvement in human or drugs trafficking .,COMPANY X-POSS DESC-GOOD REPUTATION MAY BE LOSE AS RESULT X-ITS INVOLVEMENT IN DESC-HUMAN OR DRUG TRAFFICKING .,NO
24700,the first is that you attach great importance to the rights of disabled persons and persons with reduced mobility .,DESC-FIRST BE THAT X-YOU ATTACH DESC-GREAT IMPORTANCE TO RIGHTS DESC-DISABLED PERSON AND PERSON WITH REDUCE MOBILITY .,NO
24753,legislation and rules are much better there and they receive much better treatment in the us .,LEGISLATION AND RULE BE DESC-MUCH DESC-BETTER DESC-RE AND X-Y RECEIVE DESC-MUCH DESC-BETTER TREATMENT IN X-WE .,NO
24755,our own european compatriots do not want to holiday in europe if they are disabled .,X-WE DESC-OWN EUROPEAN COMPATRIOT DO DESC-NOT WANT TO HOLIDAY IN EUROPE IF X-Y BE DESC-DISABLED .,NO
24758,"is it reasonable to abolish compensation for lost equipment , especially wheelchairs for persons with reduced mobility ?","BE X-IT DESC-REASONABLE TO ABOLISH COMPENSATION FOR LOSE EQUIPMENT , DESC-ESPECIALLY WHEELCHAIR FOR PERSON WITH REDUCE MOBILITY ?",NO
24779,subject eu alzheimer's strategy,SUBJECT EU ALZHEIMER X-POSS STRATEGY,NO
24783,this is a public health emergency for an ageing population .,THIS BE PUBLIC HEALTH EMERGENCY FOR AGEING POPULATION .,NO
24868,online consultation is commonly used .,ONLINE CONSULTATION BE DESC-COMMONLY USE .,NO
25225,patientsrights in cross border healthcare debate,PATIENTSRIGHT IN CROSS BORDER HEALTHCARE DEBATE,NO
25226,"as many of you know , john bowis was taken ill recently in brussels and was hospitalised .","AS DESC-MANY X-YOU KNOW , JOHN BOWUS BE TAKE DESC-ILL DESC-RECENTLY IN BRUSSELS AND BE HOSPITALISE .",YES
25231,most people will always want to be treated close to home .,MOST PEOPLE WILL DESC-ALWAYS WANT TO BE TREAT DESC-CLOSE TO HOME .,NO
25233,"however , such prior authorisation must not be used to limit patient choice .","DESC-HOWEVER , DESC-SUCH DESC-PRIOR AUTHORISATION MUST DESC-NOT BE USE TO LIMIT PATIENT CHOICE .",NO
25240,"yesterday , here in strasbourg , we celebrated european patientsrights day .","YESTERDAY , DESC-HERE IN STRASBOURG , X-WE CELEBRATE EUROPEAN PATIENTSRIGHT DAY .",NO
25241,the central question in this context is what can the european union do for patients ?,DESC-CENTRAL QUESTION IN THIS CONTEXT BE WHAT CAN EUROPEAN UNION DO FOR PATIENT ?,NO
25247,"europe's citizens have the right to receive care in another member state , subject to conditions .","EUROPE X-POSS CITIZEN HAVE DESC-RIGHT TO RECEIVE CARE IN ANOR MEMBER STATE , SUBJECT TO CONDITION .",NO
25248,"provided that everything is done to avoid medical tourism , I see this only as progress .","PROVIDE THAT EVERYTHING BE DO TO AVOID DESC-MEDICAL TOURISM , X-I SEE THIS DESC-ONLY AS PROGRESS .",NO
25252,"any form of gender based discrimination whatsoever practised by healthcare facilities , insurers or state officials is unacceptable .","ANY FORM GENDER BASE DISCRIMINATION DESC-WHATSOEVER PRACTICE BY HEALTHCARE FACILITY , INSURER OR STATE OFFICIAL BE DESC-UNACCEPTABLE .",NO
25254,the report is based on patientsneeds and not patientsmeans .,REPORT BE BASE ON PATIENTSNEED AND DESC-NOT PATIENTSMEAN .,NO
25256,patients will always prefer to receive health care close to where they live .,PATIENT WILL DESC-ALWAYS PREFER TO RECEIVE HEALTH CARE DESC-CLOSE TO WHERE X-Y DESC-LIVE .,NO
25257,"currently , only one percent of our budgets are spent on cross border health care .","DESC-CURRENTLY , DESC-ONLY ONE PERCENT X-WE BUDGET BE SPEND ON CROSS BORDER HEALTH CARE .",NO
25261,"patients , too , are to have their rights in the internal market .","PATIENT , DESC-TOO , BE TO HAVE X-Y RIGHTS IN DESC-INTERNAL MARKET .",NO
25264,"these include , for example , the fact that patients are to be granted free movement for non hospital care .","SE INCLUDE , FOR EXAMPLE , FACT THAT PATIENT BE TO BE GRANT DESC-FREE MOVEMENT FOR NON HOSPITAL CARE .",NO
25265,"we also think , however , that the member states should retain the competence for their healthcare systems .","X-WE DESC-ALSO THINK , DESC-HOWEVER , THAT MEMBER STATE SHOULD RETAIN COMPETENCE FOR X-Y HEALTHCARE SYSTEM .",NO
25266,it is therefore right for there to be prior authorisation for certain kinds of treatment .,X-IT BE DESC-REFORE DESC-RIGHT FOR DESC-RE TO BE DESC-PRIOR AUTHORISATION FOR DESC-CERTAIN KIND TREATMENT .,NO
25269,"perhaps a small part of the scientific community knows about it , but not every local doctor .","DESC-PERHAPS DESC-SMALL PART DESC-SCIENTIFIC COMMUNITY KNOW ABOUT X-IT , BUT DESC-NOT EVERY DESC-LOCAL DOCTOR .",NO
25273,on behalf of the alde group . nl this directive is about patients .,NL THIS DIRECTIVE BE ABOUT PATIENT .,NO
25276,how can we make the system such that patients benefit from it ?,HOW CAN X-WE MAKE SYSTEM DESC-SUCH THAT PATIENT BENEFIT FROM X-IT ?,NO
25278,patients are in such a weak position .,PATIENT BE IN DESC-SUCH DESC-WEAK POSITION .,NO
25285,we consider that there must be exceptions for rare diseases or life threatening situations on waiting lists .,X-WE CONSIDER THAT DESC-RE MUST BE EXCEPTION FOR DESC-RARE DISEASE OR LIFE THREATEN SITUATION ON WAIT LIST .,NO
25288,he has done terrific work and I sincerely hope he gets well soon .,X-HE HAVE DO DESC-TERRIFIC WORK AND X-I DESC-SINCERELY HOPE X-HE GET DESC-WELL DESC-SOON .,YES
25289,"indeed , today only 4 % of european citizens are treated abroad .","DESC-INDEED , TODAY DESC-ONLY 4 % EUROPEAN CITIZEN BE TREAT DESC-ABROAD .",NO
25290,"he has been well cared for and , for a british citizen , there is no problem about reimbursements .","X-HE HAVE BE DESC-WELL CARE FOR AND , FOR BRITISH CITIZEN , DESC-RE BE NO PROBLEM ABOUT REIMBURSEMENT .",NO
25297,"we consider that everyone , rich and poor , has a right to adequate access to high quality healthcare .","X-WE CONSIDER THAT EVERYONE , DESC-RICH AND DESC-POOR , HAVE DESC-RIGHT TO DESC-ADEQUATE ACCESS TO DESC-HIGH QUALITY HEALTHCARE .",NO
25300,it will thus be an obligation instead of a right of the patient .,X-IT WILL DESC-THUS BE OBLIGATION DESC-INSTEAD DESC-RIGHT PATIENT .,NO
25301,this means that the doctor should be the one to decide which treatment you get and when .,THIS MEAN THAT DOCTOR SHOULD BE ONE TO DECIDE WHICH TREATMENT X-YOU GET AND WHEN .,YES
25304,"patients should be subjects , not the objects of a marketing campaign .","PATIENT SHOULD BE SUBJECT , DESC-NOT OBJECT MARKETING CAMPAIGN .",NO
25306,i myself am a beneficiary of cross border health care .,X-I X-MYSELF BE BENEFICIARY CROSS BORDER HEALTH CARE .,NO
25308,we should also have the right to access high quality health care close to home .,X-WE SHOULD DESC-ALSO HAVE DESC-RIGHT TO ACCESS DESC-HIGH QUALITY HEALTH CARE DESC-CLOSE TO HOME .,NO
25317,let us seize this law and put the patient centre stage .,LET X-WE SEIZE THIS LAW AND PUT PATIENT CENTER STAGE .,NO
25318,"those patients who want to travel are , in fact , quite few in number .","THOSE PATIENT WHO WANT TO TRAVEL BE , IN FACT , DESC-QUITE DESC-FEW IN NUMBER .",NO
25321,the alde's core amendment has been to appoint a european patients ombudsman .,ALDE X-POSS CORE AMENDMENT HAVE BE TO APPOINT EUROPEAN PATIENT OMBUDSMAN .,NO
25326,"pl mr president , defining patientsrights in cross border healthcare is an urgent task .","PL MR PRESIDENT , DEFINE PATIENTSRIGHT IN CROSS BORDER HEALTHCARE BE DESC-URGENT TASK .",NO
25328,monitoring of cross border healthcare will be useful in assessing the situation in this area .,MONITORING CROSS BORDER HEALTHCARE WILL BE DESC-USEFUL IN ASSESS SITUATION IN THIS AREA .,NO
25329,i would like to wish mr bowis a speedy return to health .,X-I WOULD LIKE TO WISH MR BOWUS DESC-SPEEDY RETURN TO HEALTH .,YES
25330,"after all , they are at the mercy of their care providers .","AFTER ALL , X-Y BE AT MERCY X-Y CARE PROVIDER .",NO
25331,we have not yet reached any agreement on how to identify that section of the patient population .,X-WE HAVE DESC-NOT DESC-YET REACH ANY AGREEMENT ON HOW TO IDENTIFY THAT SECTION PATIENT POPULATION .,NO
25332,i want to start by saying that we have no objection whatsoever to cross border healthcare .,X-I WANT TO START BY SAY THAT X-WE HAVE NO OBJECTION DESC-WHATSOEVER TO CROSS BORDER HEALTHCARE .,NO
25333,"to that end , patient rights must , of course , be strengthened .","TO THAT END , PATIENT RIGHTS MUST , COURSE , BE STRENGN .",NO
25336,introducing patient mobility will not only have an impact on healthcare .,INTRODUCE PATIENT MOBILITY WILL DESC-NOT DESC-ONLY HAVE IMPACT ON HEALTHCARE .,NO
25339,"during the rehabilitation period , the entiremedical tourismchain would gain from this benefit .","DURING REHABILITATION PERIOD , ENTIREMEDICAL TOURISMCHAIN WOULD GAIN FROM THIS BENEFIT .",NO
25343,i wish mr bowis a speedy recovery .,X-I WISH MR BOWUS DESC-SPEEDY RECOVERY .,YES
25344,"incidentally , he too had previously received a lengthy period of treatment in hungary .","DESC-INCIDENTALLY , X-HE DESC-TOO HAVE DESC-PREVIOUSLY RECEIVE DESC-LENGTHY PERIOD TREATMENT IN DESC-HUNGARY .",YES
25349,"first , this directive rightly regulates only the mobility of patients and not of healthcare workers .","DESC-FIRST , THIS DIRECTIVE DESC-RIGHTLY REGULATE DESC-ONLY MOBILITY PATIENT AND DESC-NOT HEALTHCARE WORKER .",NO
25350,the aim cannot be to create a market for healthcare services .,AIM CAN DESC-NOT BE TO CREATE MARKET FOR HEALTHCARE SERVICE .,NO
25353,a country that wishes to guarantee healthcare for all must be able to plan for care in this way .,COUNTRY THAT WISH TO GUARANTEE HEALTHCARE FOR ALL MUST BE DESC-ABLE TO PLAN FOR CARE IN THIS WAY .,NO
25355,and why do some heart patients needlessly have to wait months for surgery to unblock arteries ?,AND WHY DO SOME HEART PATIENT DESC-NEEDLESSLY HAVE TO WAIT MONTH FOR SURGERY TO UNBLOCK ARTERY ?,YES
25356,we must not restrict cross border health care just to those who can afford it .,X-WE MUST DESC-NOT RESTRICT CROSS BORDER HEALTH CARE DESC-JUST TO THOSE WHO CAN AFFORD X-IT .,NO
25357,the rights and safety of patients must come first .,RIGHTS AND SAFETY PATIENT MUST COME DESC-FIRST .,NO
25358,"finally , I would like to wish john bowis a speedy recovery .","DESC-FINALLY , X-I WOULD LIKE TO WISH JOHN BOWUS DESC-SPEEDY RECOVERY .",YES
25366,public planning will be made more difficult and the national healthcare system is at risk of being drained .,PUBLIC PLANNING WILL BE MAKE MORE DESC-DIFFICULT AND DESC-NATIONAL HEALTHCARE SYSTEM BE AT RISK BE DRAIN .,NO
25367,"cross border healthcare is a fact , and patientsrights need to be protected in this regard .","CROSS BORDER HEALTHCARE BE FACT , AND PATIENTSRIGHT NEED TO BE PROTECT IN THIS REGARD .",NO
25369,healthcare must be left up to the member states .,HEALTHCARE MUST BE LEAVE DESC-UP TO MEMBER STATE .,NO
25376,it is a directive designed for patients and about patients .,X-IT BE DIRECTIVE DESIGN FOR PATIENT AND ABOUT PATIENT .,NO
25377,neither can we grant the right to unlimited travel for patients .,NEIR CAN X-WE GRANT DESC-RIGHT TO DESC-UNLIMITED TRAVEL FOR PATIENT .,NO
25380,"commissioner , healthcare is not a good .","COMMISSIONER , HEALTHCARE BE DESC-NOT DESC-GOOD .",NO
25382,it is also essential to request prior authorisation for hospital and specialised care in order to protect patients .,X-IT BE DESC-ALSO DESC-ESSENTIAL TO REQUEST DESC-PRIOR AUTHORISATION FOR HOSPITAL AND DESC-SPECIALISED CARE IN ORDER TO PROTECT PATIENT .,NO
25383,only with the obligation for prior authorisation can safe and high quality care be ensured .,DESC-ONLY WITH OBLIGATION FOR DESC-PRIOR AUTHORISATION CAN DESC-SAFE AND DESC-HIGH QUALITY CARE BE ENSURE .,NO
25384,i will end by wishing mr bowis a speedy recovery .,X-I WILL END BY WISH MR BOWUS DESC-SPEEDY RECOVERY .,YES
25388,the right to health should form the legal basis .,DESC-RIGHT TO HEALTH SHOULD FORM DESC-LEGAL BASIS .,NO
25394,i would refer to the dutch model of dispute resolution in healthcare that was launched recently .,X-I WOULD REFER TO DUTCH MODEL DISPUTE RESOLUTION IN HEALTHCARE THAT BE LAUNCH DESC-RECENTLY .,NO
25395,we have also noted that the healthcare systems in the member states have been left unchanged .,X-WE HAVE DESC-ALSO NOTE THAT HEALTHCARE SYSTEM IN MEMBER STATE HAVE BE LEAVE DESC-UNCHANGED .,NO
25399,one example states that member states may take appropriate measures to stem patient flows .,ONE EXAMPLE STATE THAT MEMBER STATE MAY TAKE DESC-APPROPRIATE MEASURE TO STEM PATIENT FLOW .,NO
25402,this proposal regarding patient mobility thus comes none too soon .,THIS PROPOSAL REGARD PATIENT MOBILITY DESC-THUS COME NONE DESC-TOO DESC-SOON .,NO
25404,i wish to concentrate primarily on a number of positive points that are in the interest of the patient .,X-I WISH TO CONCENTRATE DESC-PRIMARILY ON NUMBER DESC-POSITIVE POINT THAT BE IN INTEREST PATIENT .,NO
25407,"healthcare is a national competence , but there are points of contact with europe .","HEALTHCARE BE DESC-NATIONAL COMPETENCE , BUT DESC-RE BE POINT CONTACT WITH EUROPE .",NO
25408,"first , there should be no forced health tourism .","DESC-FIRST , DESC-RE SHOULD BE NO FORCE HEALTH TOURISM .",NO
25409,it should not be the case that insurers pressure patients to go elsewhere to receive cheap care .,X-IT SHOULD DESC-NOT BE CASE THAT INSURER PRESSURE PATIENT TO GO DESC-ELSEWHERE TO RECEIVE DESC-CHEAP CARE .,NO
25412,health is not a free market .,HEALTH BE DESC-NOT DESC-FREE MARKET .,NO
25415,we have heard hundreds of times from lobbyists about the risk of insurance companies collapsing .,X-WE HAVE HEAR HUNDRED TIME FROM LOBBYIST ABOUT RISK INSURANCE COMPANY COLLAPSE .,NO
25416,patients will therefore have to obtain prior authorisation from their health insurers before receiving costly treatment .,PATIENT WILL DESC-REFORE HAVE TO OBTAIN DESC-PRIOR AUTHORISATION FROM X-Y HEALTH INSURER BEFORE RECEIVE DESC-COSTLY TREATMENT .,NO
25417,"however , both patients and doctors throughout the eu need a simple rule for when they must request authorisation .","DESC-HOWEVER , BOTH PATIENT AND DOCTOR THROUGHOUT EU NEED DESC-SIMPLE RULE FOR WHEN X-Y MUST REQUEST AUTHORISATION .",NO
25418,therefore I do not support the proposal to create 27 definitions of specialised and costly care for this purpose .,DESC-REFORE X-I DO DESC-NOT SUPPORT PROPOSAL TO CREATE 27 DEFINITION DESC-SPECIALISED AND DESC-COSTLY CARE FOR THIS PURPOSE .,NO
25420,this involves national or international hospital accreditations .,THIS INVOLVE DESC-NATIONAL OR DESC-INTERNATIONAL HOSPITAL ACCREDITATION .,NO
25421,i trust that all hospitals will soon obtain voluntary national or european accreditation involving quality checks .,X-I TRUST THAT ALL HOSPITAL WILL DESC-SOON OBTAIN DESC-VOLUNTARY DESC-NATIONAL OR EUROPEAN ACCREDITATION INVOLVE QUALITY CHECK .,NO
